Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
A.J. Brown,246.5,TEN,24,WR,29,24,5,70,1,3,28.0,12.5,2.3,1,2021
A.J. Feeley,135.0,MIA,27,QB,17,13,26,19,1,2,6.5,0.7,1.1,12,2004
A.J. Green,210.0,CIN,26,WR,44,44,11,93,0,5,15.67,7.03,2.03,6,2014
A.J. Jenkins,242.5,KAN,25,WR,25,3,4,4,0,0,2.5,1.0,0.1,1,2014
A.J. McCarron,158.0,CIN,25,QB,7,3,14,31,0,3,16.0,2.2,4.4,1,2015
AJ Dillon,46.67,GNB,24,RB,45,5,419,1815,14,110,31.0,4.57,38.17,3,2022
Aaron Brown,169.0,DET,26,RB,22,2,45,189,0,9,9.33,2.77,6.13,0,2011
Aaron Hernandez,229.0,NWE,23,TE,38,29,9,97,0,6,14.0,9.9,2.37,1,2012
Aaron Jones,29.5,GNB,26,RB,54,42,651,3364,37,171,61.5,5.28,61.17,6,2020
Aaron Ripkowski,149.5,GNB,25,RB,32,10,39,163,2,12,9.5,3.5,5.1,0,2017
Aaron Rodgers,188.0,GNB,25,QB,23,16,67,254,4,26,12.0,4.2,8.8,13,2008
Ace Sanders,253.0,JAX,22,WR,15,4,2,4,0,1,4.0,2.0,0.3,0,2013
Adam Jennings,280.0,ATL,24,WR,15,0,1,-4,0,0,-4.0,-4.0,-0.3,0,2006
Adam Jones,243.0,TEN,23,RCB,15,15,2,8,0,1,7.0,4.0,0.5,4,2006
Adam Podlesh,260.0,JAX,24,P,16,0,2,-2,0,0,0.0,-1.0,-0.1,1,2007
Adimchinobe Echemandu,142.0,2TM,27,RB,13,0,28,110,0,2,13.0,3.7,7.85,2,2007
Adoree' Jackson,197.0,TEN,22,LCB,16,16,5,55,0,3,20.0,11.0,3.4,1,2017
Adrian Madise,299.0,DEN,23,WR,11,0,1,10,0,1,10.0,10.0,0.9,1,2003
Adrian Peterson,75.36,MIN,25,RB,151,60,1499,7024,58,357,37.18,4.72,42.69,25,2010
Ahmad Bradshaw,54.75,NYG,24,RB,58,12,529,2558,17,120,62.75,5.72,42.15,15,2010
Aldrick Robinson,260.0,WAS,25,WR,31,3,4,10,0,1,11.5,6.35,0.3,0,2013
Alex Armah,177.33,CAR,26,FB,48,4,21,35,3,9,3.67,1.67,0.73,0,2020
Alex Collins,54.67,BAL,24,RB,36,22,357,1509,14,83,31.67,4.07,39.13,9,2018
Alex Green,135.0,NYJ,25,RB,29,4,149,510,0,19,19.33,3.43,14.73,1,2013
Alex Smith,105.33,SFO,23,QB,32,30,87,339,2,21,22.0,4.5,11.1,27,2007
Alexander Mattison,50.75,MIN,24,RB,59,6,404,1670,11,92,30.75,4.15,29.05,2,2022
Alfred Blue,37.75,HOU,26,RB,57,14,523,1908,6,96,40.0,3.7,32.6,4,2017
Alfred Morris,8.0,WAS,27,RB,64,64,1078,4713,29,235,40.5,4.3,73.62,11,2015
Allen Bradford,188.0,TAM,23,RB,1,0,5,13,0,0,4.0,2.6,13.0,0,2011
Alshon Jeffery,162.5,CHI,24,WR,32,30,22,138,0,9,25.0,6.05,4.35,4,2014
Alvin Kamara,23.75,NOR,25,RB,60,35,672,3340,43,196,53.0,5.1,55.85,7,2020
Alvin Pearman,100.5,JAX,24,RB,29,0,58,238,2,12,28.5,4.25,8.05,6,2006
Amani Hooker,324.0,TEN,22,DB,16,3,1,4,0,1,4.0,4.0,0.3,0,2020
Amari Cooper,256.0,2TM,24,WR,61,56,7,21,0,2,4.25,3.25,0.35,6,2018
Ameer Abdullah,117.5,2TM,25,RB,42,22,327,1251,6,63,23.75,3.52,31.82,8,2018
Andre Brown,144.5,NYG,26,RB,14,2,75,384,8,26,15.5,2.4,19.1,0,2012
Andre Caldwell,222.0,CIN,25,WR,38,12,9,73,0,6,13.0,5.3,2.97,5,2010
Andre Ellington,61.5,ARI,27,RB,53,15,398,1697,9,73,44.5,4.5,33.35,4,2016
Andre Johnson,201.0,HOU,25,WR,61,61,18,26,0,6,12.0,1.85,0.47,3,2006
Andre Roberts,220.0,ARI,24,WR,31,31,7,56,0,4,13.5,8.15,1.8,2,2012
Andre Williams,91.75,LAC,25,RB,41,7,332,1090,8,50,26.5,3.45,37.83,1,2017
Andre' Davis,231.67,CLE,25,WR,39,19,9,32,0,1,4.33,1.63,0.6,3,2004
Andrew Luck,77.75,IND,26,QB,55,55,222,1101,12,80,23.25,5.08,21.15,32,2015
Andrew Pinnock,214.67,SDG,26,FB,16,0,14,55,0,4,10.0,4.4,11.53,1,2006
Andrew Walter,162.0,OAK,26,QB,14,9,19,49,0,3,12.5,2.95,6.0,15,2008
Andy Dalton,80.0,CIN,27,QB,64,64,205,624,11,58,16.5,3.12,9.75,15,2014
Andy Isabella,294.67,2TM,26,0,33,3,6,10,0,0,0.33,-0.4,0.23,1,2022
Andy Janovich,238.5,DEN,26,RB,50,19,13,51,3,8,9.0,3.45,1.05,0,2019
Anquan Boldin,197.5,ARI,26,WR,56,55,23,116,0,6,13.75,5.1,1.95,7,2006
Anthony Allen,180.0,BAL,24,RB,21,0,19,69,1,4,11.5,3.25,2.7,0,2012
Anthony Dixon,100.75,SFO,26,RB,64,1,148,458,8,26,15.25,3.02,7.15,0,2013
Anthony McFarland Jr.,192.67,PIT,23,RB,14,0,42,146,0,7,12.33,3.13,13.93,0,2022
Anthony Miller,264.33,CHI,26,WR,47,17,9,37,0,1,5.67,3.1,0.8,4,2020
Anthony Sherman,274.33,KAN,26,RB,47,21,5,14,0,3,3.0,2.83,0.3,1,2014
Anthony Thomas,23.0,CHI,27,RB,51,37,858,3332,21,156,47.0,3.8,64.28,7,2004
Antonio Brown,170.67,PIT,25,WR,45,27,21,69,0,6,11.0,3.3,1.57,5,2013
Antonio Bryant,223.33,CLE,24,WR,48,35,9,43,0,1,9.67,3.23,0.9,4,2005
Antonio Callaway,245.0,CLE,21,WR,16,11,2,7,0,1,15.0,3.5,0.4,1,2018
Antonio Gandy-Golden,315.0,WAS,22,WR,6,2,1,22,0,1,22.0,22.0,3.7,0,2020
Antonio Gibson,19.33,WAS,24,RB,45,30,577,2378,21,137,29.0,4.13,52.67,8,2022
Antonio Pittman,68.5,STL,23,FB,23,5,117,435,0,23,33.5,3.7,18.65,1,2008
Antwaan Randle El,143.5,PIT,26,WR,64,23,54,316,0,17,27.75,5.62,4.95,18,2005
ArDarius Stewart,182.0,NYJ,24,WR,15,2,7,27,0,2,11.0,3.9,1.8,0,2017
Armanti Edwards,274.0,2TM,25,QB,25,0,3,12,0,0,4.0,4.0,0.87,1,2013
Arnaz Battle,204.5,SFO,26,WR,48,23,17,55,0,4,10.75,3.98,1.23,5,2006
Arrelious Benn,190.0,TAM,24,WR,37,24,15,44,0,3,11.67,3.3,1.27,2,2012
Artose Pinner,67.25,MIN,28,RB,40,7,245,812,8,49,16.5,3.33,22.48,1,2006
Ashley Lelie,201.25,DEN,25,WR,64,40,20,172,0,8,21.0,8.48,2.7,0,2005
Ashtyn Davis,331.0,NYJ,26,S,14,0,1,2,0,1,2.0,2.0,0.1,0,2022
Aundrae Allison,247.5,MIN,22,WR,26,0,3,4,0,0,2.0,1.25,0.2,4,2008
Austin Collie,250.0,IND,24,WR,16,5,2,1,0,0,2.0,0.5,0.1,0,2009
Austin Pettis,305.0,STL,23,WR,12,3,1,-6,0,0,-6.0,-6.0,-0.5,2,2011
B.J. Askew,181.0,NYJ,26,FB,55,6,27,102,0,6,9.75,3.65,2.18,0,2006
B.J. Daniels,184.0,2TM,27,QB,8,0,6,6,0,0,6.0,1.0,0.8,0,2015
B.J. Raji,306.0,GNB,25,NT,16,16,1,1,1,1,1.0,1.0,0.1,0,2011
B.J. Sander,294.0,GNB,25,P,14,0,1,-11,0,0,-11.0,-11.0,-0.8,1,2005
Baker Mayfield,101.75,CLE,26,QB,60,59,158,571,5,53,23.75,3.77,9.53,27,2021
Baron Batch,119.0,PIT,25,RB,12,0,25,49,1,4,10.0,2.0,4.1,0,2012
Beanie Wells,34.0,ARI,24,RB,51,23,625,2471,24,116,39.75,3.73,46.05,10,2012
Ben DiNucci,199.0,DAL,24,QB,3,1,6,22,0,2,10.0,3.7,7.3,4,2020
Ben Roethlisberger,87.5,PIT,25,QB,56,55,154,515,8,50,20.75,3.42,9.05,18,2007
Ben Tate,37.0,HOU,25,RB,40,9,421,1992,10,108,47.0,4.67,47.77,10,2013
Ben Troupe,311.0,TEN,25,TE,16,2,1,-1,0,0,-1.0,-1.0,-0.1,0,2007
Ben Watson,315.0,NWE,27,TE,12,8,1,11,0,1,11.0,11.0,0.9,1,2007
Benny Snell Jr.,85.0,PIT,24,RB,63,5,275,982,7,54,19.5,3.6,16.72,3,2022
Bernard Berrian,204.67,CHI,26,WR,42,17,12,64,0,2,22.33,7.17,1.63,3,2006
Bernard Pierce,79.0,JAX,24,RB,52,3,359,1345,5,68,34.5,3.38,22.6,1,2015
Bernard Scott,85.5,CIN,28,RB,47,3,255,1035,4,54,33.25,4.25,21.18,2,2012
Bethel Johnson,244.0,MIN,27,WR,39,8,7,4,0,2,1.33,-2.0,0.17,3,2006
Bilal Powell,82.25,NYJ,26,RB,47,14,332,1296,6,68,19.5,3.48,23.68,2,2014
Bishop Sankey,59.5,TEN,23,RB,29,12,199,762,3,31,19.0,3.9,25.2,4,2015
Blaine Gabbert,162.75,SFO,25,QB,29,27,76,191,0,15,8.5,3.42,6.95,21,2014
Blake Bortles,77.0,JAX,25,QB,62,61,223,1410,7,93,29.25,6.33,22.95,38,2017
Bo Scaife,303.0,TEN,25,TE,14,12,1,13,1,1,13.0,13.0,0.9,1,2006
Bo Scarbrough,129.5,SEA,26,RB,7,5,95,408,1,16,21.0,4.7,46.9,1,2020
Bobby Wade,217.67,2TM,24,WR,42,16,18,91,0,7,7.0,3.37,2.03,13,2005
Boston Scott,64.0,PHI,26,RB,43,10,228,992,13,58,34.67,4.33,23.0,7,2021
Brad Nortman,286.0,CAR,26,P,16,0,1,-1,0,0,-1.0,-1.0,-0.1,0,2015
Brad Smith,138.25,NYJ,26,WR,60,15,60,468,1,31,34.0,7.6,8.15,4,2009
Braden Mann,338.0,NYJ,24,P,10,0,1,4,0,0,4.0,4.0,0.4,0,2021
Bradlee Van Pelt,154.0,DEN,25,QB,3,0,11,48,1,5,11.0,4.4,16.0,0,2005
Brady Quinn,156.0,CLE,25,QB,13,12,25,119,1,12,18.0,4.55,8.4,4,2009
Brandin Cooks,174.0,NWE,24,WR,58,46,30,161,1,9,15.75,5.53,3.2,3,2017
Brandon Aiyuk,228.33,SFO,24,WR,46,44,13,117,2,4,20.67,9.23,2.93,3,2022
Brandon Allen,151.0,DEN,27,QB,3,3,10,39,0,4,11.0,3.9,13.0,0,2019
Brandon Fields,273.0,MIA,24,P,16,0,1,0,0,0,0.0,0.0,0.0,0,2008
Brandon Gibson,228.5,STL,24,WR,29,21,5,44,0,4,12.5,8.65,1.55,0,2011
Brandon Jackson,62.0,GNB,25,RB,52,16,347,1329,7,59,39.5,3.95,24.15,3,2010
Brandon Jacobs,43.5,NYG,26,RB,55,22,555,2620,35,161,31.0,4.25,52.48,11,2008
Brandon Jones,264.0,TEN,26,WR,51,27,6,76,0,3,12.75,10.0,1.65,1,2008
Brandon LaFell,250.67,CAR,27,WR,44,30,6,110,0,3,31.33,26.4,2.57,2,2013
Brandon Manumaleuna,210.0,STL,23,TE,16,15,4,15,0,0,8.0,3.8,0.9,0,2003
Brandon Marshall,233.0,CHI,28,WR,77,61,17,102,0,6,9.8,3.8,1.32,10,2012
Brandon Tate,270.33,CIN,25,WR,34,14,7,73,0,4,11.0,7.8,3.13,5,2012
Brandon Weeden,153.0,2TM,32,QB,34,25,61,201,1,14,12.0,2.62,5.12,15,2015
Braxton Berrios,218.0,NYJ,26,WR,32,3,10,69,2,4,13.0,7.7,2.15,1,2021
Braxton Miller,264.5,HOU,25,WR,21,9,4,1,0,0,1.0,0.5,0.05,0,2017
Braylon Edwards,210.0,CLE,23,WR,16,15,3,7,0,1,8.0,2.3,0.4,0,2006
Breshad Perriman,265.5,CLE,25,WR,26,3,5,4,0,0,4.5,1.25,0.15,0,2018
Brett Hundley,162.0,GNB,24,QB,15,9,39,268,2,21,12.0,3.4,12.0,5,2017
Brian Brohm,219.0,BUF,24,QB,2,1,3,-3,0,0,-1.0,-1.0,-1.5,0,2009
Brian Calhoun,166.0,DET,23,RB,11,0,14,54,0,2,12.0,3.85,5.75,1,2007
Brian Hartline,243.67,MIA,25,WR,44,23,7,65,1,4,18.33,9.93,1.57,1,2011
Brian Hill,95.5,ATL,25,RB,45,3,209,982,3,42,40.0,5.03,19.25,3,2020
Brian Leonard,140.75,CIN,26,RB,43,8,124,455,0,25,22.25,4.22,8.47,1,2010
Brian St. Pierre,219.0,PIT,25,QB,1,0,4,-3,0,1,2.0,-0.8,-3.0,0,2004
Brian Westbrook,43.0,PHI,26,RB,55,35,496,2235,13,111,40.25,4.5,41.92,6,2005
Brock Forsey,98.0,MIA,24,RB,16,2,69,244,2,14,16.0,3.3,14.4,1,2004
Brock Osweiler,172.5,DEN,25,QB,21,7,40,50,1,8,3.75,0.5,1.38,4,2015
Brodie Croyle,190.5,KAN,24,QB,11,6,10,15,0,2,2.5,0.8,0.25,4,2007
Brooks Bollinger,181.5,NYJ,26,QB,12,9,36,137,0,13,8.5,2.95,7.15,3,2005
Bruce Ellington,226.0,HOU,26,WR,37,6,10,52,1,3,11.67,5.8,1.4,5,2017
Bruce Gradkowski,162.5,OAK,26,QB,26,16,67,291,0,21,12.5,3.7,8.45,16,2009
Bruce Miller,191.75,SFO,27,RB,61,42,22,48,0,9,5.0,2.25,0.78,3,2014
Bruce Perry,136.0,PHI,24,RB,2,1,16,74,0,3,11.0,4.6,37.0,0,2005
Bryan Anger,262.0,JAX,25,P,16,0,1,0,0,0,0.0,0.0,0.0,1,2013
Bryan Edwards,323.0,LVR,23,WR,16,12,1,0,0,0,0.0,0.0,0.0,1,2021
Bryant Johnson,268.67,ARI,25,WR,46,23,4,-9,0,0,-0.67,-2.0,-0.2,2,2006
Bryant McFadden,294.0,PIT,25,RCB,16,9,1,-2,0,0,-2.0,-2.0,-0.1,0,2006
Bryce Brown,79.5,SEA,24,RB,42,7,251,1076,7,61,40.5,3.88,24.23,5,2015
Bryce Petty,189.5,NYJ,26,QB,10,7,12,74,0,5,16.5,5.85,8.5,2,2017
Byron Leftwich,99.25,JAX,26,QB,46,44,120,364,8,29,12.75,2.98,7.67,26,2006
C.J. Beathard,148.0,SFO,27,QB,19,12,51,233,4,18,15.33,4.5,11.87,11,2020
C.J. Prosise,174.0,SEA,25,RB,25,2,65,264,2,9,23.5,1.98,10.18,1,2019
C.J. Spiller,38.0,BUF,26,RB,61,31,590,3021,12,117,49.25,4.9,48.83,14,2013
Cadillac Williams,43.75,TAM,26,RB,38,33,632,2417,14,121,39.25,3.8,57.98,9,2008
Calvin Johnson,201.0,DET,25,WR,60,55,18,156,1,11,18.25,7.78,2.68,8,2010
Calvin Ridley,228.33,ATL,26,WR,44,30,13,62,0,4,12.0,7.23,1.47,3,2020
Cam Akers,88.67,LAR,23,RB,29,14,338,1414,9,71,35.0,3.03,34.5,3,2022
Cam Newton,39.75,CAR,25,QB,62,62,467,2571,33,198,49.75,5.47,41.38,27,2014
Cameron Artis-Payne,110.0,CAR,28,RB,32,3,118,491,5,24,25.75,4.25,22.27,0,2018
Cameron Morrah,300.0,SEA,24,TE,9,4,1,1,0,0,1.0,1.0,0.1,0,2011
Cardale Jones,294.0,BUF,24,QB,1,0,1,-1,0,0,-1.0,-1.0,-1.0,0,2016
Carlos Hyde,31.0,SFO,27,RB,50,36,655,2729,21,139,39.5,4.15,56.38,9,2017
Carlton Mitchell,293.0,CLE,22,WR,5,0,1,9,0,0,9.0,9.0,1.8,0,2010
Carson Palmer,105.33,CIN,27,QB,45,45,78,125,2,17,13.0,1.73,2.83,22,2006
Carson Wentz,81.5,PHI,27,QB,56,56,206,785,3,73,18.25,3.65,14.03,48,2019
Cecil Shorts,307.0,JAX,25,WR,14,9,1,-4,0,0,-4.0,-4.0,-0.3,1,2012
Cedric Benson,34.5,CIN,26,RB,47,22,634,2340,12,117,38.75,3.77,49.23,6,2008
Cedric Cobbs,160.5,DEN,25,RB,5,0,25,59,0,3,9.0,2.65,10.6,1,2006
Cedric Houston,49.5,NYJ,24,RB,20,5,194,676,7,36,24.0,3.5,36.0,1,2006
Cedric Peerman,195.33,CIN,26,RB,36,1,41,274,1,10,20.0,4.23,6.5,0,2012
Cedrick Wilson,330.5,SFO,26,WR,31,19,2,2,0,1,1.0,1.0,0.05,1,2004
Cedrick Wilson Jr.,280.0,DAL,26,WR,32,4,5,-1,0,1,2.5,0.75,-0.05,3,2021
CeeDee Lamb,171.33,DAL,23,WR,49,44,29,205,1,12,22.0,7.1,4.23,2,2022
Chad Henne,122.33,MIA,26,QB,33,31,66,196,2,18,14.0,3.67,11.27,10,2011
Chad Jackson,189.0,NWE,21,WR,12,1,4,22,0,2,14.0,5.5,1.8,0,2006
Chad Johnson,208.0,CIN,26,WR,16,16,4,39,0,1,18.0,9.8,2.4,1,2004
Chad Kelly,308.0,DEN,24,QB,1,0,1,-1,0,0,-1.0,-1.0,-1.0,0,2018
Chad Morton,123.0,WAS,26,RB,47,5,88,360,0,16,16.33,3.43,7.8,4,2003
Chad Pennington,199.25,NYJ,27,QB,28,21,52,102,4,14,8.75,3.67,3.25,10,2003
Chad Williams,300.5,ARI,24,WR,16,8,3,42,0,1,21.0,12.75,3.2,0,2018
Chansi Stuckey,263.67,CLE,27,WR,46,10,6,16,1,1,6.0,2.33,0.37,3,2010
Charles Clay,167.0,MIA,24,TE,16,15,7,15,1,2,13.0,2.1,0.9,0,2013
Charles Johnson,282.0,MIN,25,WR,12,6,1,-11,0,0,-11.0,-11.0,-0.9,1,2014
Charles Lee,253.0,TAM,26,WR,8,5,2,14,0,1,8.0,7.0,1.8,0,2003
Charles Rogers,261.0,DET,22,WR,5,5,2,17,0,1,12.0,8.5,3.4,0,2003
Charles Sims,78.75,TAM,27,RB,47,2,245,958,2,43,30.75,3.77,20.85,6,2017
Charlie Frye,176.5,SEA,27,QB,23,20,68,306,4,24,15.25,5.97,10.28,15,2008
Charlie Whitehurst,258.0,SDG,24,QB,2,0,2,13,1,1,14.0,6.5,6.5,0,2006
Chase Claypool,166.67,2TM,24,WR,46,30,33,171,2,14,16.0,5.03,3.77,4,2022
Chase Edmonds,59.5,ARI,25,RB,57,15,333,1551,9,82,38.0,4.57,28.4,4,2021
Chauncey Washington,262.5,DAL,26,RB,8,0,5,8,0,1,2.5,0.65,0.5,0,2011
Chaz Schilens,301.0,OAK,23,WR,16,6,1,-2,0,0,-2.0,-2.0,-0.1,0,2008
Chester Taylor,55.5,BAL,26,RB,62,8,373,1599,4,81,37.0,4.2,25.62,8,2005
Chris Brown,45.0,TEN,25,RB,42,28,541,2295,11,94,34.75,4.1,51.25,12,2006
Chris Carson,31.75,SEA,26,RB,45,44,715,3270,21,192,44.75,4.53,68.25,11,2020
Chris Chambers,196.75,MIA,26,WR,62,53,20,173,0,6,17.5,4.47,2.88,5,2004
Chris Clemons,268.0,MIA,27,SS,16,16,1,3,0,1,3.0,3.0,0.2,0,2012
Chris Cole,242.0,DEN,26,WR,11,0,2,8,0,1,8.0,4.0,0.7,1,2003
Chris Davis,262.5,NYJ,24,WR,14,0,3,22,0,1,8.5,6.25,1.55,6,2007
Chris Givens,227.75,2TM,26,WR,60,31,11,42,0,3,14.5,3.8,0.7,1,2015
Chris Godwin,294.0,TAM,23,WR,14,14,1,8,0,0,8.0,8.0,0.6,0,2019
Chris Henry,186.0,TEN,23,RB,16,0,64,244,4,10,13.5,3.4,10.0,0,2008
Chris Johnson,7.0,TEN,26,RB,63,62,1187,5645,38,238,70.25,4.7,89.5,10,2011
Chris Jones,293.67,DAL,28,P,48,0,3,84,0,3,28.0,28.0,1.77,0,2017
Chris Massey,300.0,STL,24,LS,16,0,1,-1,0,1,-1.0,-1.0,-0.1,0,2003
Chris Moore,250.5,BAL,26,WR,58,5,11,27,0,2,3.75,1.3,0.42,1,2019
Chris Ogbonnaya,130.33,CLE,26,RB,30,5,95,420,1,3,22.33,4.27,17.73,3,2012
Chris Perry,157.67,CIN,25,RB,22,3,73,337,0,20,16.33,3.6,9.97,4,2006
Chris Rainey,117.0,PIT,24,RB,16,0,26,102,2,5,19.0,3.9,6.4,4,2012
Chris Redman,238.0,BAL,26,QB,10,6,13,12,0,3,3.33,0.93,1.1,8,2003
Chris Simms,165.67,TAM,26,QB,19,15,30,52,1,4,8.33,1.8,2.63,9,2006
Chris Thompson,135.67,WAS,26,RB,31,0,106,584,3,24,24.67,5.13,14.97,4,2016
Chris Weinke,142.5,CAR,30,QB,21,16,42,137,6,12,18.0,2.65,5.0,11,2002
Christian Kirk,249.75,ARI,25,WR,56,41,16,142,0,8,16.25,8.38,2.73,1,2021
Christian McCaffrey,34.0,CAR,24,RB,51,45,682,3145,29,146,49.5,4.33,64.38,7,2020
Christian Ponder,124.75,MIN,26,QB,38,36,126,639,7,40,21.0,5.1,15.12,20,2014
Christine Michael,84.25,2TM,26,RB,37,9,254,1080,7,16,36.25,4.47,26.65,3,2016
Ciatrick Fason,110.0,MIN,24,RB,18,0,50,161,5,18,15.0,3.7,12.3,1,2006
Clayton Fejedelem,251.0,CIN,25,DB,16,1,2,6,0,1,6.0,3.0,0.4,1,2018
Cliff Russell,238.0,CIN,25,WR,13,1,3,15,0,2,13.0,5.0,1.2,2,2004
