Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Ito Smith,154.0,DAL,26,RB,36,0,176,693,7,37,18.5,4.15,15.18,2,2021
J.J. Arrington,92.75,ARI,25,RB,58,8,183,654,3,28,20.75,3.42,11.95,2,2008
J.K. Dobbins,44.0,BAL,24,RB,23,9,226,1325,11,64,58.0,5.85,59.35,2,2022
J.P. Losman,138.75,BUF,26,QB,37,31,91,419,1,34,18.0,5.42,10.88,26,2007
J.R. Redmond,125.25,OAK,26,RB,34,5,173,557,1,21,12.5,2.6,18.48,2,2003
J.T. O'Sullivan,263.0,GNB,25,QB,1,0,2,-2,0,0,-1.0,-1.0,-2.0,0,2004
JJ Nelson,234.5,ARI,26,WR,56,15,12,120,1,5,20.0,8.28,1.95,3,2018
JaMarcus Russell,154.0,OAK,24,QB,31,25,40,175,1,20,15.33,3.57,4.4,25,2009
Jabar Gaffney,231.0,HOU,25,WR,48,36,9,56,0,3,11.0,7.93,1.17,1,2005
Jacob Bell,272.0,TEN,26,LG,16,16,1,-15,0,0,-15.0,-15.0,-0.9,1,2007
Jacob Hester,114.25,SDG,26,RB,62,23,94,319,1,30,16.25,3.5,5.1,4,2011
Jacoby Brissett,115.75,IND,27,QB,38,32,142,564,9,40,18.75,3.1,14.35,18,2019
Jacoby Ford,180.67,OAK,26,WR,38,13,19,201,2,8,35.0,8.77,4.9,10,2013
Jacoby Jones,247.5,HOU,26,WR,59,11,9,23,0,3,6.5,1.38,0.42,9,2010
Jacquizz Rodgers,61.5,ATL,24,RB,63,5,305,1116,5,63,23.0,3.67,17.78,3,2014
Jahvid Best,44.5,DET,22,RB,22,15,255,945,6,41,66.5,3.9,49.85,1,2011
Jake Fromm,187.0,NYG,23,QB,3,2,8,65,0,4,27.0,8.1,21.7,2,2021
Jake Locker,127.0,TEN,26,QB,30,23,95,644,5,39,29.25,6.78,20.02,10,2014
Jake Luton,335.0,JAX,24,QB,3,3,1,13,1,1,13.0,13.0,4.3,2,2020
Jakeem Grant,253.0,MIA,27,WR,52,4,9,23,1,1,5.0,2.83,0.47,8,2019
Jalen Hurts,48.33,PHI,24,QB,45,34,367,1898,26,149,32.33,5.27,42.2,27,2022
Jalen Parmele,223.5,BAL,24,RB,8,0,7,44,0,1,19.0,8.45,14.7,0,2009
Jalen Reagor,219.0,MIN,23,WR,45,24,18,83,0,6,16.0,5.33,1.93,8,2022
Jalston Fowler,236.67,TEN,27,RB,42,7,10,20,2,6,3.0,2.3,0.47,0,2017
Jamaal Charles,65.75,KAN,25,RB,49,19,499,3027,12,145,52.5,6.12,57.55,10,2011
Jamaal Williams,39.25,GNB,25,RB,60,20,500,1985,10,109,28.75,3.98,33.2,0,2020
Jamaar Taylor,325.0,NYG,23,WR,8,0,1,-8,0,0,-8.0,-8.0,-1.0,0,2004
Jamal Agnew,244.75,DET,25,WR,46,2,10,68,0,6,10.5,9.0,1.65,7,2020
Jamal Lewis,6.0,BAL,24,RB,48,44,1004,4757,26,213,67.33,4.67,99.1,22,2003
Jamar Martin,211.0,DAL,23,FB,14,1,4,7,0,2,3.0,1.8,0.5,0,2003
Jameel Cook,248.0,TAM,24,FB,30,11,3,1,0,0,0.5,0.0,0.0,0,2003
Jameis Winston,86.0,TAM,24,QB,56,54,189,794,9,59,17.5,4.2,14.88,38,2018
James Allen,34.0,HOU,27,RB,16,5,155,519,0,22,32.0,3.3,32.4,1,2002
James Casey,267.5,HOU,28,FB,30,16,2,17,0,2,8.5,8.5,0.6,0,2012
James Conner,44.0,PIT,25,RB,50,33,532,2302,22,128,34.25,4.33,46.75,7,2020
James Davis,146.0,2TM,24,RB,9,0,28,75,0,0,9.5,2.45,8.05,0,2010
James Jackson,86.5,2TM,28,RB,44,16,321,1071,5,58,24.0,4.45,25.45,5,2004
James Starks,63.75,GNB,27,RB,35,5,322,1427,5,76,29.75,4.22,39.65,4,2013
James Washington,299.0,PIT,25,WR,15,2,2,13,0,0,12.0,6.5,0.9,0,2021
James White,119.75,NWE,25,RB,47,9,113,431,2,18,11.25,3.75,9.82,0,2017
James Williams,318.0,SEA,22,WR,10,0,1,-5,0,0,-5.0,-5.0,-0.5,0,2000
James Wright,251.0,CIN,25,WR,24,2,5,24,0,3,7.5,3.5,1.1,0,2016
Jamie Harper,133.0,TEN,23,RB,23,0,36,74,4,8,12.5,2.1,3.2,1,2012
Jamison Crowder,215.75,WAS,25,WR,56,28,15,64,0,3,11.25,3.1,1.4,12,2018
Jared Goff,118.0,LAR,25,QB,54,54,112,215,6,21,13.0,1.88,3.75,35,2019
Jarious Jackson,248.67,DEN,26,QB,4,1,7,15,0,1,4.0,3.13,5.17,2,2003
Jarius Wright,259.0,MIN,26,WR,39,11,8,111,0,5,21.33,16.23,2.6,1,2015
Jarrad Page,299.0,KAN,22,DB,16,2,1,4,0,1,4.0,4.0,0.3,0,2006
Jarrett Stidham,207.0,LVR,26,QB,13,2,23,89,0,10,5.33,2.0,5.83,3,2022
Jarrod Baxter,204.5,HOU,25,FB,24,11,9,15,0,2,3.5,1.25,0.5,0,2004
Jarvis Landry,219.0,MIA,25,WR,64,57,26,119,1,9,8.0,0.17,1.88,14,2017
Jason Avant,270.0,PHI,24,WR,15,5,1,1,0,0,1.0,1.0,0.1,0,2007
Jason Campbell,88.67,WAS,27,QB,36,36,107,550,2,38,22.33,5.03,15.2,21,2008
Jason Hill,237.0,SFO,23,WR,16,2,2,5,0,1,9.0,2.5,0.3,1,2008
Jason Huntley,186.0,PHI,23,RB,6,0,18,70,0,3,14.0,3.85,27.4,0,2021
Jason Snelling,90.0,ATL,27,RB,51,3,257,1042,7,70,22.75,3.85,19.23,4,2010
Javarris Williams,189.0,KAN,23,RB,4,0,6,6,0,0,5.0,1.0,1.5,0,2009
Javier Arenas,239.0,KAN,24,DB,31,3,4,17,1,2,6.0,4.5,0.55,3,2011
Javin Hunter,277.0,BAL,22,WR,12,3,1,9,0,0,9.0,9.0,0.8,2,2002
Javon Ringer,141.75,TEN,25,RB,37,0,120,486,3,21,30.0,5.2,11.05,1,2012
Javon Walker,289.5,GNB,25,WR,31,5,3,12,0,1,6.0,5.75,0.4,2,2003
Javon Wims,370.0,CHI,26,WR,13,1,1,2,0,0,2.0,2.0,0.2,0,2020
Javorius Allen,81.0,BAL,27,RB,54,6,340,1249,8,78,26.25,3.55,20.3,3,2018
Jay Ajayi,48.25,PHI,25,RB,42,23,562,2516,13,82,44.25,4.25,53.5,8,2018
Jay Cutler,93.75,CHI,26,QB,53,53,153,596,4,44,22.0,3.5,9.93,33,2009
Jay Prosch,200.5,HOU,24,RB,31,3,10,42,0,6,10.5,3.9,1.35,0,2016
Jaylen Samuels,133.75,HOU,25,RB,45,8,136,468,1,23,11.75,3.05,8.95,2,2021
Jeff Driskel,118.0,DET,26,QB,12,8,47,281,3,17,25.0,6.05,32.35,5,2019
Jeff Dugan,249.0,MIN,26,TE,16,3,2,7,0,2,4.0,3.5,0.4,1,2007
Jeff Faine,281.0,CLE,22,C,9,9,1,0,0,0,0.0,0.0,0.0,3,2003
Jeff Janis,248.0,GNB,25,WR,16,1,2,38,1,2,19.0,19.0,2.4,0,2016
Jeff Locke,277.0,MIN,26,P,16,0,1,-6,0,0,-6.0,-6.0,-0.4,0,2015
Jeff Webb,318.0,KAN,25,WR,16,2,1,5,0,0,5.0,5.0,0.3,2,2007
Jehu Chesson,285.0,WAS,25,WR,12,0,1,-4,0,0,-4.0,-4.0,-0.3,0,2018
Jeremi Johnson,166.75,CIN,26,FB,64,41,41,116,2,9,9.0,2.48,1.82,3,2006
Jeremy Chinn,265.0,CAR,22,RLB,15,15,2,29,0,1,28.0,14.5,1.9,0,2020
Jeremy Hill,34.25,CIN,25,RB,54,43,704,2873,29,160,52.5,3.9,48.1,9,2017
Jeremy Kerley,199.0,NYJ,26,WR,58,23,18,133,0,3,16.5,7.88,2.2,8,2014
Jeremy Langford,88.67,ATL,27,RB,29,5,219,762,10,41,17.67,3.2,25.1,2,2018
Jeremy Maclin,257.33,PHI,23,WR,44,42,6,30,0,3,4.67,3.17,0.63,2,2011
Jeremy McNichols,177.5,TEN,25,RB,17,0,49,208,1,9,13.5,3.15,8.4,0,2020
Jerick McKinnon,45.5,MIN,25,RB,58,14,474,1918,7,82,54.25,4.3,34.33,3,2017
Jerious Norwood,51.75,ATL,26,RB,55,6,373,1987,7,85,52.75,5.2,35.48,3,2009
Jerome Felton,177.5,2TM,25,RB,56,19,42,136,0,11,6.75,2.98,2.33,1,2011
Jerome Harrison,84.5,CLE,26,RB,47,8,271,1310,6,62,43.75,5.2,25.45,3,2009
Jerome Simpson,306.0,CIN,24,WR,5,3,1,2,0,0,2.0,2.0,0.4,2,2010
Jerrel Jernigan,270.0,NYG,25,WR,26,4,4,61,1,1,17.67,10.83,1.17,2,2014
Jerricho Cotchery,212.0,NYJ,25,WR,47,32,11,67,0,4,10.0,5.53,1.47,3,2007
Jerry Jeudy,264.0,DEN,23,WR,25,19,6,43,0,4,8.5,5.75,1.5,1,2022
Jerry Porter,251.33,OAK,25,WR,41,16,7,29,0,0,7.0,6.0,0.77,1,2003
Jesse Palmer,254.5,NYG,25,QB,8,3,5,20,0,2,11.5,1.4,1.15,2,2003
Jim Sorgi,171.0,IND,27,QB,13,0,26,-8,0,2,3.0,-0.4,-0.7,2,2007
Jimmy Clausen,114.0,CAR,23,QB,13,10,23,57,0,3,11.0,2.5,4.4,9,2010
Jimmy Garoppolo,161.5,SFO,26,QB,23,7,40,21,1,7,6.5,0.3,0.82,3,2017
Jimmy Graham,276.0,NOR,24,TE,15,5,1,3,0,1,3.0,3.0,0.2,1,2010
Joe Adams,209.0,CAR,23,WR,9,0,3,13,0,0,5.0,4.3,1.4,4,2012
Joe Burrow,89.67,CIN,26,QB,42,42,152,517,10,62,19.33,3.4,12.57,20,2022
Joe Flacco,85.75,BAL,26,QB,64,64,169,408,4,48,23.75,2.35,6.4,39,2011
Joe Hamilton,274.0,TAM,23,QB,1,0,1,-2,0,0,-2.0,-2.0,-2.0,1,2000
Joe McKnight,94.33,NYJ,24,RB,39,1,112,502,0,22,30.0,4.63,13.93,6,2012
Joe Mixon,19.0,CIN,24,RB,50,41,812,3359,20,175,37.75,4.03,67.62,4,2020
Joe Reed,220.0,LAC,22,WR,11,0,5,29,1,1,8.0,5.8,2.6,0,2020
Joe Webb,191.33,MIN,26,QB,17,3,41,273,4,16,26.67,4.23,12.33,2,2012
Joey Harrington,116.25,DET,27,QB,58,55,109,345,0,23,16.0,2.6,5.83,21,2005
Joey Iosefa,155.0,NWE,24,RB,2,0,15,51,0,2,15.0,3.4,25.5,0,2015
John Beck,160.0,MIA,26,QB,5,4,9,12,1,4,8.0,1.3,2.4,7,2007
John Brown,248.5,ARI,27,WR,56,27,8,36,0,3,8.75,6.33,0.7,2,2017
John Conner,158.5,NYJ,24,FB,32,8,21,88,2,8,14.5,4.45,2.8,0,2011
John Hightower,322.0,PHI,24,WR,13,4,1,1,0,0,1.0,1.0,0.1,0,2020
John Kelly,211.0,CLE,25,RB,12,0,32,96,0,7,8.0,4.07,8.03,0,2021
John Ross,254.33,CIN,24,WR,24,19,8,25,0,0,8.0,5.2,1.73,2,2019
John Skelton,158.0,ARI,24,QB,20,17,42,182,0,15,10.67,3.6,8.83,11,2012
Johnathan Franklin,126.0,GNB,24,RB,11,0,19,107,1,7,51.0,5.6,9.7,2,2013
Johnnie Lee Higgins,240.67,OAK,26,WR,47,10,7,58,0,2,15.0,7.77,1.23,9,2009
Johnny Knox,284.0,CHI,24,WR,16,16,1,2,0,0,2.0,2.0,0.1,1,2010
Johnny Manziel,133.0,CLE,23,QB,14,8,46,259,1,12,22.0,4.7,15.7,7,2015
Johnny Townsend,336.0,OAK,23,P,16,0,1,42,0,1,42.0,42.0,2.6,0,2018
Johnny White,165.5,2TM,24,RB,19,0,20,72,0,1,11.0,3.75,4.05,0,2012
Jon Alston,257.0,OAK,25,LB,14,4,1,22,0,1,22.0,22.0,1.6,0,2008
Jonathan Dwyer,100.75,PIT,24,RB,36,6,230,971,2,47,36.75,4.7,26.65,2,2013
Jonathan Smith,283.5,BUF,24,WR,16,1,3,12,0,1,4.5,3.25,0.65,1,2005
Jonathan Stewart,26.75,CAR,24,RB,62,13,725,3500,26,175,47.0,4.83,56.42,10,2011
Jonathan Taylor,11.0,IND,23,RB,43,41,756,3841,33,215,70.33,5.0,87.57,8,2022
Jonathan Wells,83.25,HOU,26,RB,60,18,374,1167,10,61,18.75,3.17,18.65,5,2005
Jonathan Williams,145.67,IND,25,RB,23,1,79,329,2,19,23.0,2.77,11.53,2,2019
Jonnu Smith,254.5,TEN,25,TE,31,28,6,82,1,3,30.0,10.75,2.6,0,2020
Jordan Akins,300.5,HOU,29,TE,26,8,2,7,0,2,3.5,3.5,0.25,2,2021
Jordan Howard,15.0,PHI,25,RB,57,48,897,3895,30,221,46.0,4.35,67.12,5,2019
Jordan Love,256.0,GNB,24,QB,10,1,13,26,0,1,4.5,0.65,2.1,3,2022
Jordan Palmer,296.0,CIN,24,QB,3,0,1,4,0,0,4.0,4.0,1.3,0,2008
Jordan Poyer,289.0,CLE,24,DB,14,4,1,10,0,1,10.0,10.0,0.7,0,2015
Jordan Reed,294.0,WAS,23,TE,9,4,1,18,0,1,18.0,18.0,2.0,0,2013
Jordan Scarlett,215.0,CAR,23,RB,9,0,4,9,0,0,6.0,2.3,1.0,0,2019
Jordan Todman,133.33,JAX,24,RB,33,3,111,450,3,22,33.67,3.97,11.87,0,2014
Jordan Wilkins,70.67,IND,26,RB,45,4,195,951,4,44,43.33,5.1,21.13,2,2020
Joseph Addai,22.0,IND,26,RB,58,42,861,3525,34,211,27.0,4.05,59.9,4,2009
Joseph Randle,71.33,DAL,24,RB,35,8,181,822,9,34,40.33,4.6,28.83,3,2015
Josh Allen,45.5,BUF,26,QB,126,125,879,4781,61,384,34.62,5.42,38.3,83,2022
Josh Doctson,278.0,WAS,25,WR,16,14,1,-14,0,0,-14.0,-14.0,-0.9,0,2017
Josh Freeman,83.25,TAM,24,QB,57,56,192,902,4,82,22.75,4.67,15.88,37,2012
Josh Huff,243.5,2TM,25,WR,22,2,5,22,0,1,8.5,5.4,1.05,1,2016
Josh Jacobs,7.25,LVR,24,RB,60,59,1072,4740,40,255,48.25,4.4,78.7,8,2022
Josh Johnson,160.33,TAM,25,QB,26,5,37,254,0,13,19.0,7.53,11.87,8,2011
Josh Malone,292.5,NYJ,24,WR,15,7,3,14,0,1,8.0,6.5,1.6,0,2020
Josh McCown,147.25,ARI,26,QB,33,22,94,429,3,26,15.0,8.38,13.3,28,2005
Josh Morgan,223.0,SFO,25,WR,32,26,7,78,0,5,16.5,10.35,2.45,2,2010
Josh Reed,263.67,BUF,25,WR,44,23,6,34,0,2,6.33,3.07,0.7,1,2005
Josh Reynolds,269.67,LAR,25,WR,48,23,8,36,0,4,9.0,4.53,0.73,2,2020
Josh Robinson,145.0,IND,23,RB,10,0,34,78,0,0,8.0,2.3,7.8,2,2015
Josh Rosen,181.0,MIA,22,QB,20,16,26,151,0,8,19.5,5.15,6.05,11,2019
Josh Scobey,103.0,ARI,25,RB,12,0,27,89,0,7,10.0,3.3,7.4,1,2004
Joshua Dobbs,237.5,PIT,25,QB,6,0,6,31,0,3,11.5,6.4,11.1,0,2020
Joshua Kelley,78.0,LAC,25,RB,37,1,213,743,4,41,23.0,3.5,19.2,3,2022
Jourdan Lewis,259.0,DAL,23,DB,15,1,2,12,0,0,7.0,6.0,0.8,0,2018
JuJu Smith-Schuster,329.0,PIT,22,WR,16,13,1,13,0,1,13.0,13.0,0.8,1,2018
Julian Edelman,222.75,NWE,26,WR,48,13,12,72,0,5,17.75,5.7,1.75,6,2012
Julio Jones,233.0,ATL,25,WR,49,48,14,94,0,9,11.25,5.58,1.93,5,2014
Julius Jones,21.5,DAL,26,RB,53,51,885,3484,18,164,51.5,3.95,70.85,8,2007
Justice Hill,103.67,BAL,25,RB,43,0,119,547,2,27,23.67,4.73,12.2,2,2022
Justin Blackmon,249.5,JAX,23,WR,20,18,3,22,0,2,5.5,5.25,0.55,1,2013
Justin Fargas,98.5,OAK,26,RB,52,7,258,1016,2,49,32.75,4.5,18.5,3,2006
Justin Forsett,56.33,SEA,26,RB,48,7,278,1287,7,59,29.67,4.33,26.83,4,2011
Justin Green,195.0,BAL,23,FB,12,4,5,4,0,0,4.0,0.8,0.3,0,2005
Justin Griffith,124.25,ATL,26,FB,60,48,81,378,1,20,16.25,4.65,6.12,4,2006
Justin Herbert,79.0,LAC,24,QB,49,49,172,683,8,65,30.0,3.93,14.0,17,2022
Justin Jackson,84.5,LAC,25,RB,43,7,206,1040,4,55,42.75,5.25,25.1,1,2021
Justin Jefferson,260.0,MIN,23,WR,50,48,11,40,1,3,7.67,3.43,0.77,2,2022
Justin McCareins,270.33,NYJ,26,WR,48,27,5,26,0,2,9.0,6.5,0.53,5,2004
K.J. Osborn,310.5,MIN,25,WR,34,18,4,16,0,3,7.5,6.0,0.5,1,2022
KJ Hamler,233.5,DEN,23,WR,20,4,11,63,0,3,14.5,7.95,3.2,2,2022
Ka'Deem Carey,99.67,CHI,24,RB,37,1,111,443,2,28,16.67,4.0,12.1,1,2016
Kaelin Clay,220.0,2TM,25,WR,13,2,3,27,0,0,29.0,9.0,2.1,3,2017
Kalen Ballage,93.75,PIT,26,RB,52,8,213,665,7,49,28.25,3.35,14.2,2,2021
Kareem Hunt,30.5,CLE,25,RB,51,35,694,3171,23,161,40.75,4.47,58.2,4,2020
Karlos Williams,51.0,BUF,22,RB,11,3,93,517,7,25,41.0,5.6,47.0,2,2015
Ke'Shawn Vaughn,129.67,TAM,25,RB,37,1,79,342,2,22,28.67,4.1,9.8,1,2022
Kealoha Pilares,303.0,CAR,24,WR,8,0,1,17,0,1,12.0,17.0,2.1,0,2012
Keary Colbert,257.0,CAR,23,WR,16,16,1,6,0,0,6.0,6.0,0.4,1,2005
KeeSean Johnson,304.0,ARI,23,WR,10,4,1,3,0,0,3.0,3.0,0.3,1,2019
Keenan Burton,207.0,STL,24,WR,13,1,3,8,0,0,5.0,2.7,0.6,0,2008
Keith Ellison,271.0,BUF,24,LLB,16,14,1,6,0,1,6.0,6.0,0.4,0,2008
Keith Null,196.0,STL,24,QB,4,4,5,6,0,0,3.0,1.2,1.5,3,2009
Keith Tandy,309.0,TAM,23,DB,9,0,1,18,0,1,18.0,18.0,2.0,0,2012
Keke Coutee,239.5,HOU,22,WR,15,6,5,14,1,2,6.5,3.5,0.8,1,2019
Kellen Clemens,174.0,NYJ,26,QB,24,9,44,119,1,11,7.75,2.05,3.67,7,2009
Kelley Washington,326.5,CIN,25,WR,32,5,2,4,0,0,2.0,2.0,0.1,0,2004
Ken Dorsey,195.5,SFO,24,QB,11,10,9,18,0,1,4.5,2.1,2.3,7,2005
Kendall Hunter,53.33,SFO,25,RB,43,1,262,1202,7,60,38.33,4.67,28.57,2,2013
Kendall Wright,248.33,TEN,26,WR,39,25,10,75,0,3,18.33,6.97,1.97,2,2015
Kenjon Barner,134.67,PHI,27,RB,31,0,61,260,2,15,13.33,3.47,7.73,2,2016
Kenneth Darby,133.0,STL,28,RB,41,1,95,408,2,22,21.25,4.4,10.03,1,2010
Kenneth Dixon,59.5,BAL,24,RB,18,0,148,715,4,50,28.5,4.95,43.65,3,2018
Kenny Golladay,288.5,DET,25,WR,26,18,2,17,0,0,8.5,8.5,0.65,1,2018
Kenny Stills,259.5,NOR,22,WR,31,17,4,8,0,0,1.0,0.65,0.25,1,2014
Kenyan Drake,51.0,2TM,25,RB,62,24,456,2175,17,106,61.25,4.88,35.83,7,2019
Kerrith Whyte Jr,115.0,PIT,23,RB,6,0,24,122,0,5,21.0,5.1,20.3,0,2019
Kerryon Johnson,57.0,DET,23,RB,34,16,283,1225,8,63,35.0,4.17,41.93,3,2020
Kerwynn Williams,111.67,ARI,25,RB,21,0,98,545,3,25,34.33,6.2,29.53,2,2016
Keshawn Martin,241.0,NWE,25,WR,25,9,5,59,0,3,13.5,9.65,2.0,2,2015
Kevan Barlow,29.25,SFO,25,RB,60,18,715,3033,21,152,49.5,4.33,50.27,10,2004
Kevin Boss,272.0,NYG,25,TE,15,15,1,16,0,1,16.0,16.0,1.1,0,2009
Kevin Curtis,230.8,STL,28,WR,78,19,12,62,2,7,9.4,5.4,0.82,7,2006
Kevin Hogan,161.0,CLE,25,QB,8,1,18,176,1,9,19.5,10.1,22.05,1,2017
Kevin Huber,287.0,CIN,27,P,32,0,2,-1,0,0,-0.5,-0.5,-0.05,1,2012
Kevin Jones,27.5,DET,25,RB,53,49,761,3067,24,154,50.0,3.98,57.17,11,2007
Kevin Kasper,241.33,ARI,26,WR,30,8,7,34,0,0,10.67,2.87,0.93,1,2003
Kevin Kolb,175.75,PHI,26,QB,19,7,36,64,1,7,8.0,0.9,1.85,9,2010
Kevin O'Connell,215.0,NWE,23,QB,2,0,3,-6,0,0,-2.0,-2.0,-3.0,0,2008
Kevin Smith,49.5,DET,25,RB,42,29,561,2212,16,112,34.75,4.08,47.9,6,2011
Kevin Walter,312.0,HOU,25,WR,16,2,1,3,0,1,3.0,3.0,0.2,1,2006
Kevin White,328.0,CHI,24,WR,4,4,1,9,0,0,9.0,9.0,2.3,0,2016
Kirk Cousins,177.25,WAS,27,QB,30,25,40,104,5,14,12.0,3.88,4.1,15,2015
Knile Davis,87.75,2TM,25,RB,57,2,250,805,11,41,21.0,2.8,12.9,7,2016
Knowshon Moreno,40.75,DEN,25,RB,44,30,604,2430,16,125,28.75,4.17,52.58,9,2012
Kolby Smith,90.67,KAN,25,RB,27,9,162,540,3,33,16.67,2.9,16.0,0,2009
Koren Robinson,222.25,SEA,24,WR,57,52,17,87,0,5,11.25,4.28,1.4,5,2004
Kris Wilson,274.5,KAN,26,FB,30,13,4,13,0,1,5.5,4.15,0.4,2,2007
