Player,Rk,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Year
Reggie Bush,45.0,NOR,24,RB,52,35,488,1940,17,104,34.5,4.17,38.0,17,2009
Reggie McNeal,295.0,CIN,23,QB,7,0,1,8,0,1,8.0,8.0,1.1,0,2006
Reggie Wayne,329.0,IND,26,WR,16,16,1,-4,0,0,-4.0,-4.0,-0.3,0,2004
Reggie Williams,245.67,JAX,24,WR,47,27,10,44,0,5,9.33,4.73,0.93,6,2007
Reuben Droughns,159.33,DEN,25,RB,40,7,40,97,1,5,12.0,2.5,3.2,0,2003
Rex Burkhead,144.33,CIN,26,RB,41,1,87,375,3,25,9.67,2.87,8.27,2,2016
Rex Grossman,158.0,CHI,26,QB,22,22,38,49,1,8,10.0,1.4,5.27,13,2006
Richard Rodgers,293.0,GNB,23,TE,16,12,1,11,0,1,11.0,11.0,0.7,0,2015
Richie James,258.0,SFO,24,WR,16,1,2,-1,0,0,0.0,-0.5,-0.1,1,2019
Riley Dixon,290.0,NYG,25,P,16,0,1,14,0,1,14.0,14.0,0.9,0,2018
Rishard Matthews,282.5,MIA,26,WR,25,11,2,7,0,0,3.5,3.5,0.3,1,2015
Rob Gronkowski,278.0,NWE,22,TE,16,16,1,2,1,1,2.0,2.0,0.1,0,2011
Rob Housler,279.0,ARI,26,TE,15,7,1,1,0,1,1.0,1.0,0.1,1,2014
Robert Ferguson,283.0,GNB,24,WR,15,12,1,-8,0,0,-8.0,-8.0,-0.5,0,2003
Robert Griffin III,60.67,WAS,24,QB,37,35,244,1480,8,81,41.67,5.7,37.17,32,2014
Robert Herron,277.0,TAM,22,WR,8,0,1,0,0,0,0.0,0.0,0.0,0,2014
Robert Hunt,345.0,MIA,26,OL,17,17,1,0,0,0,0.0,0.0,0.0,1,2022
Robert Meachem,226.33,NOR,26,WR,46,17,11,116,1,6,23.0,12.4,2.47,2,2010
Robert Thomas,153.0,DAL,28,FB,15,9,10,31,0,2,14.0,3.1,2.1,0,2002
Robert Turbin,65.0,2TM,26,RB,58,3,281,1127,1,42,20.0,4.0,19.48,2,2015
Robert Woods,299.67,BUF,24,WR,41,33,4,22,0,2,6.33,4.67,0.53,2,2016
Rock Cartwright,153.5,WAS,26,FB,60,3,139,632,6,48,24.0,4.62,10.3,4,2005
Rod Gardner,251.0,WAS,27,WR,48,45,5,24,0,3,9.33,6.43,0.5,2,2004
Roddy White,261.67,ATL,27,WR,48,38,7,14,0,1,5.33,1.0,0.33,5,2008
Rohan Davey,220.5,NWE,26,QB,6,0,6,-5,0,0,0.5,-1.15,-1.15,0,2004
Ron Dayne,28.67,NYG,24,RB,48,12,533,1888,15,114,47.0,3.53,39.33,4,2002
Ron Dixon,239.5,NYG,25,WR,27,0,3,13,0,1,6.0,3.25,0.55,2,2001
Ronald Curry,281.0,OAK,25,WR,28,5,2,-3,0,0,-1.5,-1.5,-0.15,2,2004
Ronald Jones II,53.0,TAM,24,RB,55,25,488,2174,18,109,46.5,3.85,36.73,7,2021
Rondell Mealey,141.0,GNB,25,RB,14,1,22,73,1,4,13.5,3.35,7.7,0,2002
Ronnie Brown,27.25,MIA,27,RB,51,46,781,3433,23,180,58.5,4.5,70.33,9,2008
Ronnie Hillman,45.5,DEN,24,RB,48,14,453,1845,12,97,39.75,4.05,38.4,8,2015
Roscoe Parrish,244.0,BUF,26,WR,55,6,9,44,1,2,12.0,4.7,0.7,7,2008
Roy Helu,108.0,WAS,26,RB,48,5,255,1132,7,61,17.75,3.75,18.98,6,2014
Roy Williams,297.0,DET,26,WR,56,52,6,5,0,1,3.25,0.88,0.1,6,2007
Royce Freeman,64.75,2TM,25,RB,61,8,353,1356,8,70,21.5,3.92,22.52,1,2021
Roydell Williams,266.0,TEN,26,WR,16,14,2,-17,0,0,-6.0,-8.5,-1.1,0,2007
Rudi Johnson,47.67,CIN,25,RB,36,21,593,2478,21,131,39.67,4.13,58.03,4,2004
Russell Gage,238.0,ATL,24,WR,32,12,6,21,0,1,8.5,3.75,0.7,1,2020
Russell Wilson,46.25,SEA,27,QB,64,64,411,2430,12,138,32.75,5.85,38.0,34,2015
Ryan Finley,156.0,CIN,26,QB,8,4,21,143,1,8,23.5,6.85,19.45,4,2020
Ryan Fitzpatrick,141.0,CIN,26,QB,18,15,77,368,4,31,12.67,3.23,13.13,14,2008
Ryan Lindley,203.0,ARI,23,QB,6,4,4,7,0,1,8.0,1.8,1.2,3,2012
Ryan Mallett,179.5,HOU,26,QB,7,2,14,-11,0,2,0.5,-0.7,-1.5,0,2014
Ryan Mathews,19.5,SDG,26,RB,54,46,849,3731,20,166,38.0,4.35,67.93,14,2013
Ryan Moats,94.0,HOU,26,RB,24,1,103,441,4,23,28.0,3.93,19.57,3,2008
Ryan Nassib,253.0,NYG,24,QB,4,0,2,-3,0,0,-1.0,-1.5,-0.8,1,2014
Ryan Plackemeier,304.0,SEA,23,P,16,0,1,0,0,0,0.0,0.0,0.0,0,2007
Ryan Switzer,206.5,PIT,24,WR,32,1,10,26,0,0,5.5,2.4,0.8,3,2018
Ryan Tannehill,91.0,MIA,27,QB,64,64,177,901,5,54,36.75,5.08,14.07,37,2015
Ryan Torain,78.0,WAS,25,RB,20,13,238,1011,6,44,37.33,4.17,44.57,3,2011
Ryan Williams,74.0,ARI,22,RB,5,3,58,164,0,8,25.0,2.8,32.8,2,2012
Ryquell Armstead,123.5,JAX,25,RB,18,1,50,188,0,8,21.0,4.2,23.4,0,2021
Sage Rosenfels,283.5,MIA,25,QB,6,0,3,-10,0,0,-1.5,-2.75,-1.4,0,2003
Sam Bradford,116.5,STL,26,QB,49,49,96,244,2,19,19.5,2.3,4.67,27,2013
Sam Darnold,95.25,CAR,24,QB,50,49,162,639,10,55,32.0,3.88,13.0,29,2021
Sam Koch,285.0,BAL,26,P,16,0,1,9,0,1,9.0,9.0,0.6,0,2008
Sam Martin,247.0,DET,23,P,16,0,2,3,0,0,3.0,1.5,0.2,2,2013
Samaje Perine,117.0,CIN,25,RB,44,9,251,952,4,42,24.0,3.85,16.3,2,2020
Samie Parker,261.5,KAN,26,WR,31,22,4,9,0,0,3.5,2.15,0.25,1,2007
Sammie Coates,204.0,PIT,23,WR,14,5,4,14,0,1,15.0,3.5,1.0,0,2016
Sammie Stroughter,310.0,TAM,24,WR,12,4,1,2,0,1,2.0,2.0,0.2,1,2010
Sammy Morris,134.25,BUF,26,RB,53,9,134,488,6,37,14.75,3.38,10.25,3,2003
Sammy Watkins,282.5,BUF,22,WR,29,29,3,9,0,1,3.0,2.5,0.3,1,2015
Samson Satele,304.0,OAK,26,C,16,15,1,0,0,0,0.0,0.0,0.0,1,2010
Santana Moss,199.5,NYJ,25,WR,51,29,24,127,0,7,11.25,2.65,1.85,8,2004
Santonio Holmes,235.75,PIT,25,WR,60,48,11,45,0,3,10.25,5.72,0.78,11,2009
Saquon Barkley,45.25,NYG,24,RB,44,44,659,2937,19,123,51.25,3.77,55.38,3,2021
Scott Miller,289.25,TAM,25,WR,50,8,8,81,1,4,16.5,10.55,1.95,0,2022
Sean Mannion,215.0,LAR,26,QB,9,1,17,-12,0,4,1.67,-0.83,-1.47,3,2018
Sean Renfree,292.0,ATL,25,QB,2,0,1,-4,0,0,-4.0,-4.0,-2.0,0,2015
Seneca Wallace,165.0,SEA,26,QB,15,4,18,117,0,6,18.5,4.7,7.3,7,2006
Shane Lechler,271.0,OAK,25,P,16,0,1,2,0,0,2.0,2.0,0.1,1,2001
Shane Vereen,88.0,NWE,25,RB,42,8,217,907,7,44,18.75,4.15,20.27,2,2014
Shaun Alexander,20.75,SEA,26,RB,64,44,994,4241,46,229,62.75,4.4,66.28,13,2003
Shaun McDonald,250.0,STL,24,WR,40,3,7,14,0,2,6.33,3.5,0.43,6,2005
Sheldon Richardson,202.0,NYJ,23,RDE,16,15,4,4,2,2,1.0,1.0,0.3,0,2013
Shiloh Keo,286.0,HOU,26,FS,16,11,1,8,0,1,8.0,8.0,0.5,0,2013
Shonn Greene,23.5,NYJ,27,RB,61,31,822,3423,18,163,30.75,4.3,55.5,11,2012
Shyrone Stith,120.0,JAX,22,RB,14,0,20,55,1,3,12.0,2.8,3.9,1,2000
Sinorice Moss,300.0,NYG,24,WR,13,2,1,4,0,0,4.0,4.0,0.3,1,2007
Skyler Green,285.0,CIN,23,WR,7,0,1,1,0,0,1.0,1.0,0.1,0,2007
Sony Michel,26.0,LAR,26,RB,55,35,743,3137,18,199,36.75,4.5,57.05,4,2021
Spencer Larsen,182.0,DEN,27,FB,27,11,17,62,0,6,10.0,4.55,2.2,0,2011
Spencer Ware,99.67,KAN,25,RB,27,16,289,1334,9,71,34.33,4.4,35.8,4,2016
Spergon Wynn,188.0,MIN,23,QB,10,3,11,76,0,5,12.5,6.3,11.2,5,2001
Stanley Havili,174.0,IND,26,RB,28,10,13,29,1,2,6.0,2.35,1.0,0,2013
Stedman Bailey,243.5,STL,24,WR,30,5,3,46,1,2,20.0,14.75,1.5,0,2014
Stefon Diggs,192.0,MIN,25,WR,55,48,24,98,0,6,12.75,3.85,1.7,2,2018
Stepfan Taylor,132.25,ARI,25,RB,61,4,120,393,1,25,16.0,3.23,6.62,0,2016
Stephen Burton,270.0,JAX,24,WR,4,2,1,-9,0,0,-9.0,-9.0,-2.3,0,2013
Stephen McGee,177.5,DAL,26,QB,3,1,17,102,0,5,13.0,6.35,32.5,1,2011
Sterling Shepard,217.0,NYG,26,WR,53,52,16,140,0,6,21.0,8.57,2.9,2,2019
Stevan Ridley,34.5,NWE,25,RB,52,25,649,2817,22,158,36.5,4.35,54.6,9,2014
Steve Breaston,229.0,ARI,27,WR,60,26,9,95,0,5,14.0,10.43,1.65,3,2010
Steve Johnson,282.0,BUF,22,WR,11,1,1,6,0,0,6.0,6.0,0.5,0,2008
Steve Slaton,73.0,2TM,25,RB,45,26,442,1896,13,93,38.5,4.12,35.4,10,2011
Steve Smith Sr.,219.33,CAR,24,WR,46,25,16,81,0,7,16.33,3.53,1.73,18,2003
Steven Jackson,17.25,STL,24,RB,57,46,971,4249,30,197,53.0,4.42,74.2,13,2007
Storm Johnson,115.0,JAX,22,RB,6,1,29,86,2,5,20.0,3.0,14.3,0,2014
T.J. Duckett,36.5,ATL,24,RB,55,13,552,2175,31,124,37.0,3.98,39.33,7,2005
T.J. Graham,239.0,BUF,24,WR,31,17,5,19,0,2,9.5,4.25,0.6,1,2013
T.J. Hockenson,323.0,DET,23,TE,16,16,1,0,0,0,0.0,0.0,0.0,1,2020
T.J. Houshmandzadeh,180.0,CIN,27,WR,16,13,6,51,0,2,16.0,8.5,3.2,0,2004
T.J. Jones,273.0,DET,23,WR,10,0,1,-3,0,0,-3.0,-3.0,-0.3,2,2015
T.J. Logan,247.5,TAM,25,FB,22,0,5,12,0,0,5.5,2.15,0.5,0,2019
T.J. Yates,239.33,HOU,26,QB,13,5,17,56,1,4,6.0,1.2,3.07,8,2013
T.J. Yeldon,47.5,JAX,25,RB,51,30,465,1872,6,73,34.75,4.22,36.9,5,2018
T.Y. Hilton,222.67,IND,25,WR,46,26,9,55,0,3,12.33,6.27,1.2,5,2014
Tab Perry,257.0,CIN,25,WR,20,1,6,22,1,1,6.0,4.67,2.37,2,2007
Taiwan Jones,169.33,OAK,25,RB,40,0,27,117,0,4,13.33,4.23,3.4,3,2013
Tajae Sharpe,324.5,TEN,24,WR,32,23,2,17,0,1,8.5,8.5,0.55,0,2018
Tarik Cohen,78.0,CHI,25,RB,51,22,264,1101,5,57,28.5,4.35,22.23,13,2020
Tarvaris Jackson,108.0,MIN,26,QB,33,19,112,472,4,34,20.0,3.73,13.95,14,2009
Tashard Choice,63.5,3TM,27,RB,61,4,279,1216,9,57,36.0,4.25,19.55,4,2011
Tatum Bell,45.5,DET,26,RB,47,19,525,2524,14,116,43.0,4.78,51.23,10,2007
Tavon Austin,111.0,LAR,26,WR,59,41,125,968,8,47,43.5,9.25,16.05,17,2016
Taylor Jacobs,300.0,WAS,23,WR,15,4,1,-6,0,0,-6.0,-6.0,-0.4,0,2004
Taywan Taylor,171.0,TEN,22,WR,16,4,8,43,0,1,17.0,5.4,2.7,0,2017
Ted Ginn Jr.,203.75,SFO,25,WR,61,35,18,135,2,4,19.5,6.95,2.15,11,2010
Teddy Bridgewater,131.67,MIN,25,QB,30,28,94,398,4,33,11.33,2.6,8.37,11,2017
Tee Higgins,216.0,CIN,21,WR,16,14,5,28,0,1,13.0,5.6,1.8,1,2020
Tee Martin,236.0,OAK,25,QB,3,0,6,36,0,0,8.0,6.8,11.0,3,2003
Terence Newman,284.0,DAL,27,LCB,16,16,1,4,0,0,4.0,4.0,0.3,3,2005
Terrance West,52.5,BAL,26,RB,43,23,465,1816,11,81,26.75,3.77,38.25,7,2017
Terrance Williams,222.0,DAL,24,WR,16,8,3,4,0,0,5.0,1.3,0.3,2,2013
Terrelle Smith,159.0,NOR,24,FB,44,26,39,150,0,6,9.0,2.77,3.57,3,2002
Terry Godwin,317.0,JAX,24,WR,3,0,1,3,0,0,3.0,3.0,1.0,0,2020
Terry McLaurin,275.67,WAS,27,WR,49,49,10,71,0,5,17.0,10.37,1.47,2,2022
Tevin Coleman,35.5,ATL,25,RB,56,20,528,2340,18,102,54.5,4.42,41.15,7,2018
Theo Riddick,108.5,DET,25,RB,54,11,164,566,2,31,18.5,3.1,12.35,1,2016
Thomas Clayton,173.0,2TM,26,RB,3,0,7,17,0,0,5.0,2.4,5.7,0,2010
Thomas Jones,38.0,TAM,25,RB,55,18,499,1891,12,93,42.25,3.75,36.6,13,2003
Thomas Tapeh,179.67,PHI,27,FB,39,16,22,69,0,7,8.33,2.97,2.57,0,2007
Tim Carter,213.33,NYG,26,WR,25,1,11,97,0,5,16.67,9.5,4.43,1,2005
Tim Hightower,41.5,WAS,25,RB,53,41,523,2054,24,112,45.5,3.9,43.12,12,2011
Tim Rattay,200.5,SFO,26,QB,19,3,20,-4,0,2,3.0,-0.28,-0.5,3,2003
Tim Tebow,76.33,NYJ,25,QB,35,16,197,989,12,60,31.33,4.63,26.93,14,2012
Tiquan Underwood,313.0,TAM,25,WR,14,3,1,1,0,0,1.0,1.0,0.1,0,2012
Titus Young,260.0,DET,23,WR,26,17,4,31,0,2,11.0,7.75,1.25,1,2012
Toby Gerhart,71.0,MIN,26,RB,61,6,276,1305,5,64,37.75,5.05,21.38,7,2013
Todd Gurley,5.5,LAR,24,RB,58,57,1042,4547,46,240,47.0,4.4,79.2,11,2018
Todd Heap,213.5,BAL,23,TE,32,32,7,59,0,2,12.0,8.25,1.85,1,2003
Todd Husak,277.0,WAS,22,QB,1,0,1,-1,0,0,-1.0,-1.0,-1.0,0,2000
Todd Pinkston,298.67,PHI,26,WR,46,45,3,-21,0,0,-7.0,-7.0,-0.47,3,2003
Tom Brady,80.33,NWE,26,QB,47,46,120,216,2,38,12.67,1.77,4.57,36,2003
Tom Savage,199.0,HOU,27,QB,13,9,16,8,0,2,5.0,0.5,0.43,11,2017
Tommy Bohanon,211.33,NYJ,25,RB,36,14,20,67,0,5,4.33,2.53,1.6,0,2015
Tommy Stevens,236.0,CAR,24,QB,1,0,4,24,0,2,10.0,6.0,24.0,0,2020
Tony Fiammetta,189.0,DAL,25,FB,24,15,11,26,0,5,7.0,2.05,1.0,0,2011
Tony Hunt,179.5,PHI,23,RB,14,2,14,25,2,7,5.0,1.95,1.75,1,2008
Tony Pollard,41.75,DAL,25,RB,62,6,510,2616,17,125,50.25,5.08,42.08,3,2022
Tony Scheffler,302.5,DEN,25,TE,26,12,2,2,0,0,1.0,1.0,0.05,1,2008
Torrey Smith,222.0,BAL,23,WR,32,30,7,48,0,4,14.5,6.4,1.5,1,2012
Trace McSorley,229.67,ARI,27,QB,9,1,21,79,0,6,8.0,2.83,6.57,2,2022
Travis Benjamin,218.0,CLE,26,WR,54,21,14,134,0,6,25.0,15.68,2.95,8,2015
Travis Henry,19.0,BUF,26,RB,54,48,963,3849,27,212,35.5,3.85,67.25,23,2004
Travis Homer,132.75,SEA,24,RB,49,2,83,453,1,19,32.5,5.53,9.22,1,2022
Travis Kelce,300.0,KAN,27,TE,16,15,1,-5,0,0,-5.0,-5.0,-0.3,0,2016
Travis Minor,64.0,MIA,25,RB,59,4,253,1042,8,56,34.75,4.3,19.07,0,2004
Travis Prentice,76.5,MIN,25,RB,30,11,187,525,9,33,11.5,1.95,16.45,3,2001
Travis Taylor,184.75,BAL,25,WR,57,52,29,224,0,10,20.75,7.45,3.65,1,2003
Trayveon Williams,167.0,CIN,25,RB,23,0,47,238,0,10,27.0,4.8,9.9,1,2022
Tre Mason,40.0,STL,22,RB,25,12,254,972,5,48,52.0,3.55,39.85,5,2015
Tre McBride,282.0,TEN,23,WR,7,0,1,8,0,1,8.0,8.0,1.1,0,2015
Tre'Quan Smith,358.0,NOR,24,WR,14,10,1,3,0,0,3.0,3.0,0.2,1,2020
Tremon Smith,364.0,HOU,25,DB,17,2,1,7,0,0,7.0,7.0,0.4,0,2021
Trent Edwards,126.75,2TM,27,QB,37,33,78,330,3,22,15.75,4.62,9.55,14,2010
Trent Richardson,21.0,IND,24,RB,46,37,614,2032,17,65,27.0,3.3,44.37,7,2014
Trenton Cannon,168.33,2TM,27,RB,42,0,51,150,1,9,12.33,2.53,3.27,1,2021
Trevon Wesco,349.5,NYJ,25,TE,28,5,2,2,0,1,1.0,1.0,0.05,0,2020
Trevor Davis,221.0,3TM,26,WR,30,4,6,86,1,2,34.5,12.4,3.0,3,2019
Trevor Siemian,174.0,DEN,26,QB,26,24,60,183,1,14,9.33,1.7,4.87,9,2017
Trey Quinn,320.0,WAS,23,WR,3,2,1,0,0,0,0.0,0.0,0.0,0,2018
Trindon Holliday,280.0,DEN,27,WR,15,0,1,7,0,0,7.0,7.0,0.5,5,2013
Troy Fleming,173.0,TEN,24,RB,16,0,7,40,0,2,13.0,5.7,2.5,0,2004
Troy Smith,150.75,SFO,26,QB,20,8,52,230,3,18,13.25,4.1,11.38,9,2010
Troy Walters,300.0,IND,27,WR,43,5,4,42,0,2,8.67,8.5,0.93,9,2003
Troy Williamson,265.0,JAX,25,WR,33,12,6,58,0,3,12.67,8.27,1.57,0,2008
Trung Canidate,100.0,WAS,26,RB,46,13,240,1095,7,48,27.0,3.67,21.77,5,2003
Tua Tagovailoa,111.33,MIA,24,QB,36,34,101,307,6,30,19.33,3.0,8.7,16,2022
Ty Johnson,84.25,NYJ,25,RB,62,6,208,925,4,40,32.5,4.55,15.22,3,2022
Ty Montgomery,111.75,2TM,25,WR,42,14,192,932,7,43,30.75,4.75,20.35,4,2018
Tyler Boyd,214.67,CIN,25,WR,46,31,10,84,0,3,18.0,7.27,1.73,3,2019
Tyler Ervin,258.67,2TM,26,RB,26,0,6,25,0,2,6.33,5.33,1.43,5,2019
Tyler Lockett,171.75,SEA,26,WR,63,39,34,261,1,13,30.75,8.53,4.2,4,2018
Tyler Thigpen,161.67,MIA,26,QB,21,12,77,462,3,25,15.33,4.43,14.57,7,2010
Tyreek Hill,136.0,KAN,25,WR,59,42,71,500,4,23,31.0,6.1,7.97,6,2019
Tyrod Taylor,210.5,BAL,25,QB,14,0,27,136,1,10,13.75,3.6,7.35,0,2014
Tyrone Calico,275.0,TEN,23,WR,14,2,1,5,0,0,5.0,5.0,0.4,0,2003
Van Jefferson,305.0,LAR,25,WR,33,17,3,19,0,2,4.5,4.5,0.55,1,2021
Vernand Morency,75.33,GNB,27,RB,39,3,171,726,4,12,26.33,4.07,18.2,4,2007
Vernon Davis,252.5,SFO,24,TE,26,24,3,16,0,1,10.0,6.75,0.6,3,2008
Verron Haynes,99.5,PIT,26,RB,53,0,159,660,3,39,18.25,4.22,12.35,4,2005
Vick Ballard,80.0,IND,23,RB,17,13,224,877,2,56,19.0,4.35,56.95,3,2013
Vince Mayle,251.0,BAL,26,WR,16,0,2,2,1,1,2.0,1.0,0.1,0,2017
Vince Young,87.75,TEN,26,QB,45,39,239,1255,12,79,28.0,4.85,23.88,32,2009
Vincent Jackson,209.0,SDG,25,WR,32,23,7,85,0,3,19.5,11.3,2.65,1,2008
Vinny Sutherland,298.0,SFO,23,WR,15,0,1,16,0,1,16.0,16.0,1.1,1,2001
Virgil Green,243.0,DEN,26,TE,13,9,2,3,0,0,3.0,1.5,0.2,0,2014
Wali Lundy,43.0,HOU,23,RB,14,8,124,476,4,29,35.0,3.8,34.0,1,2006
Wayne Gallman,63.25,NYG,26,RB,53,14,338,1444,9,73,28.75,4.05,26.2,6,2020
Wendell Smallwood,81.0,WAS,25,RB,52,12,233,931,5,57,19.25,3.92,18.5,3,2019
Will Dissly,288.0,SEA,23,TE,6,6,1,7,0,0,7.0,7.0,1.2,1,2019
Will Fuller,265.0,HOU,23,WR,24,23,3,6,0,0,1.0,0.75,0.35,2,2017
Will Grier,172.0,CAR,24,QB,2,2,7,22,0,2,11.0,3.1,11.0,1,2019
William Green,51.5,CLE,26,RB,46,30,568,2109,9,102,38.25,3.77,46.03,12,2005
Willie Ponder,300.0,NYG,25,WR,22,0,2,0,0,0,0.0,0.0,0.0,2,2005
Willis McGahee,11.33,BUF,25,RB,46,40,868,3365,24,186,41.67,3.87,73.03,9,2006
Windrell Hayes,275.0,NYJ,24,WR,8,1,1,2,0,0,2.0,2.0,0.3,0,2000
Xavier Omon,187.5,BUF,24,RB,7,0,11,27,0,1,4.5,2.6,3.45,0,2009
Yamon Figurs,279.67,2TM,27,WR,22,0,3,-7,0,0,-0.33,-2.33,-0.8,5,2010
Zac Stacy,62.0,NYJ,24,RB,35,17,357,1355,9,65,24.67,3.57,34.37,3,2015
Zach Mettenberger,188.5,TEN,24,QB,14,10,14,12,1,3,6.5,0.85,0.85,8,2015
Zach Miller,271.5,JAX,26,TE,58,10,6,24,0,2,5.5,3.75,0.4,0,2010
Zack Moss,50.33,2TM,25,RB,39,3,301,1282,9,70,30.33,4.27,32.87,3,2022
Zay Jones,307.0,2TM,24,WR,31,24,2,3,0,0,1.5,1.5,0.1,1,2019
