Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
A.J. Feeley,41.33,27.0,18.0,13.0,7.0,6.0,0.0,287.0,524.0,60.3,3047.0,19.0,7.1,21.0,4.83,153.0,39.33,7.37,6.6,12.0,161.2,83.7,30.0,184.0,3.47,6.94,6.21,3.0,4.0,6.5,12.0,26.0,19.0,1.0,2.0,0.7,1.1,5.0,155.0,2001.0,3.0,1.024,5.0,18.645,0.0,3.729,0.0354
A.J. McCarron,50.5,27.0,10.0,3.0,2.0,1.0,0.0,86.0,133.0,58.2,920.0,6.0,2.5,2.0,0.85,50.0,46.5,5.95,6.05,10.1,72.0,80.25,13.0,72.0,7.95,4.92,5.04,0.0,0.0,16.0,1.0,14.0,31.0,0.0,3.0,2.2,4.4,5.0,164.0,2014.0,4.0,2.401,2.0,10.0,0.0,5.0,0.0274
Aaron Rodgers,49.75,25.0,23.0,16.0,6.0,10.0,0.0,376.0,595.0,57.83,4367.0,29.0,2.2,14.0,2.17,198.0,36.5,5.62,5.1,9.4,101.53,71.95,43.0,301.0,12.05,4.11,3.67,1.0,2.0,12.0,13.0,67.0,254.0,4.0,26.0,4.2,8.8,1.0,24.0,2005.0,5.0,7.7,6.0,63.52,0.0,10.5867,0.0714
Alex Smith,34.33,23.0,32.0,30.0,11.0,19.0,0.0,435.0,800.0,52.57,4679.0,19.0,1.73,31.0,4.13,217.0,55.67,5.5,4.0,10.43,136.13,57.6,81.0,508.0,10.1,4.33,3.01,4.0,6.0,22.0,27.0,87.0,339.0,2.0,21.0,4.5,11.1,1.0,1.0,2005.0,6.0,53.5,2.0,6.5,0.0,3.25,0.0134
Alex Smith,34.33,23.0,32.0,30.0,11.0,19.0,0.0,435.0,800.0,52.57,4679.0,19.0,1.73,31.0,4.13,217.0,55.67,5.5,4.0,10.43,136.13,57.6,81.0,508.0,10.1,4.33,3.01,4.0,6.0,22.0,27.0,87.0,339.0,2.0,21.0,4.5,11.1,3.0,71.0,2005.0,5.0,2.895,1.0,0.63,0.0,0.63,0.0051
Andrew Luck,13.75,26.0,55.0,55.0,35.0,20.0,0.0,1224.0,2106.0,57.83,14838.0,101.0,4.83,55.0,2.8,724.0,77.5,6.95,6.67,12.03,269.65,83.72,115.0,722.0,5.12,6.28,6.01,9.0,13.0,23.25,32.0,222.0,1101.0,12.0,80.0,5.08,21.15,1.0,1.0,2012.0,4.0,22.107,5.0,122.97,0.0,24.594,0.1398
Andrew Walter,53.0,26.0,15.0,9.0,2.0,7.0,0.0,174.0,333.0,53.57,1919.0,3.0,0.37,16.0,3.6,92.0,32.67,5.03,3.47,9.43,93.27,53.7,51.0,295.0,7.87,4.07,2.7,0.0,0.0,12.5,15.0,19.0,49.0,0.0,3.0,2.95,6.0,3.0,69.0,2005.0,5.0,2.915,1.0,0.62,0.0,0.62,0.005
Andy Dalton,13.75,27.0,64.0,64.0,40.0,23.0,1.0,1301.0,2111.0,61.62,14758.0,99.0,4.65,66.0,3.1,689.0,76.5,6.97,6.5,11.32,230.6,85.03,120.0,695.0,5.33,6.3,5.84,10.0,13.0,16.5,15.0,205.0,624.0,11.0,58.0,3.12,9.75,2.0,35.0,2011.0,4.0,5.214,6.0,96.0,0.0,16.0,0.0944
B.J. Daniels,75.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,3.5,7.0,0.9,58.3,0.0,0.0,0.0,3.5,3.5,0.0,0.0,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.8,7.0,237.0,2013.0,4.0,2.206,2.0,1.1,0.0,0.55,0.0032
Baker Mayfield,18.25,26.0,60.0,59.0,29.0,30.0,0.0,1185.0,1924.0,61.62,14125.0,92.0,4.78,56.0,2.88,681.0,76.5,7.35,7.0,11.93,235.75,87.88,134.0,889.0,6.58,6.43,6.11,6.0,7.0,23.75,27.0,158.0,571.0,5.0,53.0,3.77,9.53,1.0,1.0,2018.0,4.0,32.682,0.0,0.0,0.0,0.0,0.0
Ben DiNucci,57.0,24.0,3.0,1.0,0.0,1.0,0.0,23.0,43.0,53.5,219.0,0.0,0.0,0.0,0.0,11.0,32.0,5.1,5.1,9.5,73.0,67.9,7.0,73.0,14.0,2.92,2.92,0.0,0.0,10.0,4.0,6.0,22.0,0.0,2.0,3.7,7.3,7.0,231.0,2020.0,4.0,3.39,2.0,1.765,0.0,0.8825,0.0
Ben Roethlisberger,16.25,25.0,56.0,55.0,39.0,16.0,0.0,908.0,1436.0,63.53,11673.0,84.0,5.95,54.0,3.67,585.0,73.25,8.28,7.85,13.0,207.62,94.05,146.0,969.0,9.1,6.92,6.5,9.0,12.0,20.75,18.0,154.0,515.0,8.0,50.0,3.42,9.05,1.0,11.0,2004.0,6.0,22.26,6.0,87.986,0.0,14.6643,0.1015
Blaine Gabbert,43.75,25.0,29.0,27.0,5.0,22.0,0.0,417.0,784.0,50.2,4395.0,23.0,5.4,24.0,3.25,208.0,60.25,5.6,5.23,11.25,128.03,69.7,74.0,518.0,7.08,4.72,4.47,1.0,1.0,8.5,21.0,76.0,191.0,0.0,15.0,3.42,6.95,1.0,10.0,2011.0,4.0,12.001,2.0,4.0,0.0,2.0,0.0134
Blake Bortles,14.25,25.0,62.0,61.0,21.0,40.0,0.0,1318.0,2229.0,59.15,14928.0,90.0,3.95,64.0,2.92,758.0,69.75,6.65,6.15,11.3,239.75,80.3,164.0,985.0,6.95,5.81,5.33,6.0,7.0,29.25,38.0,223.0,1410.0,7.0,93.0,6.33,22.95,1.0,3.0,2014.0,4.0,20.645,3.0,54.0,0.0,18.0,0.096
Bradlee Van Pelt,83.0,25.0,3.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.9,0.9,3.5,2.3,39.6,0.0,0.0,0.0,0.88,0.88,0.0,0.0,11.0,0.0,11.0,48.0,1.0,5.0,4.4,16.0,7.0,250.0,2004.0,3.0,0.943,0.0,0.0,0.0,0.0,0.0
Brady Quinn,49.33,25.0,14.0,12.0,3.0,9.0,0.0,184.0,353.0,47.07,1902.0,10.0,1.77,9.0,1.63,99.0,39.67,5.53,5.17,12.1,117.2,63.53,20.0,113.0,2.67,5.26,4.89,1.0,2.0,18.0,4.0,25.0,119.0,1.0,12.0,4.55,8.4,1.0,22.0,2007.0,5.0,9.25,1.0,1.5,0.0,1.5,0.0125
Brandon Allen,46.0,27.0,3.0,3.0,1.0,2.0,0.0,39.0,84.0,46.4,515.0,3.0,3.6,2.0,2.4,20.0,75.0,6.1,5.8,13.2,171.7,68.3,9.0,59.0,9.7,4.9,4.58,0.0,0.0,11.0,0.0,10.0,39.0,0.0,4.0,3.9,13.0,6.0,201.0,2016.0,4.0,2.464,1.0,0.645,0.0,0.645,0.0033
Brandon Weeden,35.0,32.0,34.0,25.0,6.0,19.0,0.0,559.0,965.0,59.5,6462.0,31.0,4.25,30.0,3.25,266.0,69.0,6.97,6.35,11.78,169.12,81.35,66.0,452.0,5.85,6.15,5.57,2.0,3.0,12.0,15.0,61.0,201.0,1.0,14.0,2.62,5.12,1.0,22.0,2012.0,4.0,8.081,2.0,1.23,0.0,0.615,0.0038
Brett Hundley,51.0,24.0,15.0,9.0,3.0,6.0,0.0,194.0,326.0,40.4,1853.0,9.0,1.4,13.0,6.9,90.0,32.0,3.75,0.95,9.05,85.6,35.3,29.0,197.0,4.2,3.23,0.46,2.0,2.0,12.0,5.0,39.0,268.0,2.0,21.0,3.4,12.0,5.0,147.0,2015.0,4.0,2.503,1.0,1.875,0.0,1.875,0.01
Brian Brohm,59.5,25.0,3.0,2.0,0.0,2.0,0.0,27.0,52.0,51.05,252.0,0.0,0.0,5.0,9.95,12.0,24.0,4.8,0.3,9.6,89.5,30.55,5.0,13.0,9.0,4.17,0.12,0.0,0.0,-1.0,0.0,3.0,-3.0,0.0,0.0,-1.0,-1.5,2.0,56.0,2008.0,4.0,3.165,1.0,0.088,0.0,0.088,0.0007
Brian St. Pierre,113.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,-3.0,0.0,1.0,-0.8,-3.0,5.0,163.0,2003.0,3.0,1.018,1.0,0.5,0.0,0.5,0.0046
Brock Osweiler,57.0,25.0,21.0,7.0,5.0,2.0,0.0,187.0,305.0,55.15,2126.0,11.0,3.4,6.0,0.55,100.0,34.0,5.33,5.75,9.8,71.28,79.28,25.0,159.0,4.7,4.78,5.22,2.0,2.0,3.75,4.0,40.0,50.0,1.0,8.0,0.5,1.38,2.0,57.0,2012.0,4.0,3.516,4.0,72.0,0.0,18.0,0.1052
Brodie Croyle,51.75,26.0,16.0,9.0,0.0,9.0,0.0,173.0,300.0,56.52,1631.0,8.0,1.93,8.0,7.83,77.0,29.5,4.95,1.8,8.75,75.0,63.4,22.0,139.0,7.47,3.98,1.25,0.0,0.0,2.5,4.0,10.0,15.0,0.0,2.0,0.8,0.25,3.0,85.0,2006.0,4.0,2.28,1.0,1.759,0.0,1.759,0.0002
Bruce Gradkowski,51.75,26.0,26.0,16.0,5.0,11.0,0.0,279.0,523.0,49.05,2824.0,15.0,1.68,16.0,5.8,131.0,40.0,4.6,2.33,8.85,79.3,50.42,42.0,249.0,9.4,3.72,1.75,4.0,5.0,12.5,16.0,67.0,291.0,0.0,21.0,3.7,8.45,6.0,194.0,2006.0,4.0,1.697,1.0,1.684,0.0,1.684,0.0002
Bryce Petty,41.0,26.0,10.0,7.0,1.0,6.0,0.0,130.0,245.0,52.75,1353.0,4.0,1.6,10.0,4.0,60.0,49.0,5.5,4.0,10.35,135.4,57.55,21.0,134.0,7.8,4.54,3.19,1.0,1.0,16.5,2.0,12.0,74.0,0.0,5.0,5.85,8.5,4.0,103.0,2015.0,4.0,2.833,0.0,0.0,0.0,0.0,0.0
Byron Leftwich,24.5,26.0,46.0,44.0,24.0,20.0,0.0,789.0,1344.0,58.65,9042.0,51.0,3.88,36.0,2.62,435.0,61.25,6.67,6.3,11.4,196.05,80.88,76.0,362.0,5.38,6.07,5.69,7.0,10.0,12.75,26.0,120.0,364.0,8.0,29.0,2.98,7.67,1.0,7.0,2003.0,5.0,22.772,1.0,2.073,0.0,2.073,0.019
C.J. Beathard,37.33,27.0,19.0,12.0,2.0,10.0,0.0,291.0,497.0,59.6,3469.0,18.0,4.1,13.0,2.27,169.0,71.33,7.13,6.9,11.93,181.4,85.57,46.0,368.0,8.47,5.83,5.65,0.0,0.0,15.33,11.0,51.0,233.0,4.0,18.0,4.5,11.87,3.0,104.0,2017.0,4.0,3.528,2.0,5.0,0.0,2.5,0.0
Cam Newton,14.75,25.0,62.0,62.0,30.0,31.0,1.0,1144.0,1923.0,59.48,14426.0,82.0,4.28,54.0,2.8,675.0,75.75,7.47,7.08,12.6,232.4,85.4,152.0,1140.0,7.33,6.39,6.01,9.0,8.0,49.75,27.0,467.0,2571.0,33.0,198.0,5.47,41.38,1.0,1.0,2011.0,4.0,22.025,5.0,103.8,0.0,20.76,0.1261
Cardale Jones,58.0,24.0,1.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,96.0,0.0,0.0,1.0,9.1,2.0,64.0,8.7,4.6,16.0,96.0,46.0,1.0,2.0,8.3,7.83,4.08,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,4.0,139.0,2016.0,4.0,2.723,1.0,0.645,0.0,0.645,0.0033
Carson Palmer,9.33,27.0,45.0,45.0,25.0,20.0,0.0,932.0,1461.0,63.67,10768.0,78.0,5.3,43.0,3.03,538.0,73.33,7.33,7.03,11.53,238.27,90.77,80.0,516.0,5.2,6.62,6.34,5.0,9.0,13.0,22.0,78.0,125.0,2.0,17.0,1.73,2.83,1.0,1.0,2003.0,6.0,42.697,6.0,97.0,0.0,16.1667,0.1148
Carson Wentz,16.75,27.0,56.0,56.0,32.0,24.0,0.0,1311.0,2055.0,64.02,14191.0,97.0,4.92,35.0,1.7,725.0,64.0,7.03,7.22,10.95,255.45,94.12,129.0,807.0,6.03,6.21,6.42,6.0,8.0,18.25,48.0,206.0,785.0,3.0,73.0,3.65,14.03,1.0,2.0,2016.0,4.0,26.676,4.0,128.0,0.0,32.0,0.0404
Chad Henne,34.5,26.0,36.0,31.0,13.0,18.0,0.0,646.0,1065.0,59.4,7114.0,31.0,2.35,37.0,2.65,367.0,46.0,6.62,5.9,11.18,166.25,75.9,67.0,421.0,5.05,5.94,5.27,3.0,4.0,14.0,10.0,66.0,196.0,2.0,18.0,3.67,11.27,2.0,57.0,2008.0,4.0,3.13,2.0,6.75,0.0,3.375,0.0276
Chad Pennington,40.0,27.0,28.0,21.0,12.0,9.0,0.0,476.0,721.0,55.62,5418.0,37.0,8.72,18.0,1.38,291.0,49.5,8.25,9.38,16.32,133.72,98.45,49.0,307.0,8.62,6.94,7.89,3.0,4.0,8.75,10.0,52.0,102.0,4.0,14.0,3.67,3.25,1.0,18.0,2000.0,5.0,23.0,8.0,68.7,0.0,8.5875,0.0732
Charlie Frye,49.75,27.0,23.0,20.0,6.0,14.0,0.0,366.0,590.0,54.02,3573.0,16.0,3.4,25.0,6.5,171.0,38.5,4.83,2.58,8.82,101.85,52.05,74.0,447.0,16.67,3.08,1.33,1.0,1.0,15.25,15.0,68.0,306.0,4.0,24.0,5.97,10.28,3.0,67.0,2005.0,4.0,2.185,1.0,0.62,0.0,0.62,0.005
Chris Redman,61.0,26.0,10.0,6.0,3.0,3.0,0.0,106.0,198.0,57.93,1111.0,7.0,1.27,5.0,5.67,54.0,21.33,5.5,3.17,9.5,70.27,62.03,17.0,113.0,12.43,4.01,2.44,0.0,0.0,3.33,8.0,13.0,12.0,0.0,3.0,0.93,1.1,3.0,75.0,2000.0,3.0,1.2,1.0,1.3,0.0,1.3,0.0161
Chris Weinke,37.5,30.0,21.0,16.0,1.0,15.0,0.0,310.0,578.0,49.5,3111.0,11.0,1.0,22.0,5.7,148.0,36.0,5.05,2.75,10.3,112.7,44.1,32.0,212.0,9.1,4.08,1.99,0.0,0.0,18.0,11.0,42.0,137.0,6.0,12.0,2.65,5.0,4.0,106.0,2001.0,5.0,2.262,3.0,4.5,0.0,1.5,0.0153
Christian Ponder,36.0,26.0,38.0,36.0,14.0,21.0,1.0,632.0,1057.0,57.5,6658.0,38.0,2.77,36.0,3.83,354.0,50.5,6.1,4.95,10.6,161.5,68.75,95.0,501.0,9.43,5.03,3.99,2.0,3.0,21.0,20.0,126.0,639.0,7.0,40.0,5.1,15.12,1.0,12.0,2011.0,4.0,10.158,1.0,0.745,0.0,0.745,0.0052
Cody Kessler,44.0,25.0,17.0,12.0,2.0,10.0,0.0,224.0,349.0,59.43,2215.0,8.0,1.53,5.0,2.27,110.0,36.67,6.0,5.23,10.2,112.37,72.1,49.0,337.0,14.93,4.03,3.45,0.0,0.0,9.33,9.0,31.0,140.0,0.0,10.0,2.37,8.77,3.0,93.0,2016.0,4.0,3.389,1.0,0.72,0.0,0.72,0.0036
Cody Pickett,64.5,25.0,6.0,2.0,0.0,2.0,0.0,18.0,45.0,40.0,195.0,0.0,0.0,4.0,12.85,8.0,23.0,4.75,-1.05,11.9,41.5,23.5,5.0,30.0,12.3,3.34,-1.59,0.0,0.0,8.5,4.0,14.0,47.0,0.0,4.0,4.1,6.7,7.0,217.0,2004.0,3.0,0.957,0.0,0.0,0.0,0.0,0.0
Colin Kaepernick,34.0,27.0,48.0,39.0,25.0,14.0,0.0,671.0,1117.0,60.33,8415.0,50.0,3.4,21.0,1.35,400.0,55.0,7.5,7.58,12.47,140.4,89.38,107.0,687.0,6.3,6.62,6.7,6.0,6.0,41.75,23.0,261.0,1576.0,10.0,76.0,4.35,25.98,2.0,36.0,2011.0,4.0,5.124,6.0,114.0,0.0,19.0,0.1121
Colt McCoy,44.25,27.0,28.0,21.0,6.0,15.0,0.0,410.0,703.0,67.72,4401.0,21.0,2.9,20.0,1.62,225.0,34.25,7.65,7.5,10.95,109.2,88.25,59.0,330.0,8.72,6.66,6.5,1.0,3.0,13.0,12.0,99.0,357.0,1.0,31.0,2.8,9.2,3.0,85.0,2010.0,4.0,4.96,1.0,0.795,0.0,0.795,0.006
Connor Cook,53.0,23.0,1.0,0.0,0.0,0.0,0.0,14.0,21.0,66.7,150.0,1.0,4.8,1.0,4.8,6.0,32.0,7.1,6.0,10.7,150.0,83.4,2.0,7.0,8.7,6.22,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,2016.0,4.0,2.959,1.0,0.685,0.0,0.685,0.0035
Craig Krenzel,39.0,23.0,6.0,5.0,3.0,2.0,0.0,59.0,127.0,46.5,718.0,3.0,2.4,6.0,4.7,31.0,49.0,5.7,4.0,12.2,119.7,52.5,23.0,158.0,15.3,3.73,2.33,1.0,1.0,12.0,8.0,18.0,41.0,0.0,4.0,2.3,6.8,5.0,148.0,2004.0,4.0,1.534,0.0,0.0,0.0,0.0,0.0
Curtis Painter,48.0,26.0,11.0,8.0,0.0,8.0,0.0,140.0,271.0,41.45,1624.0,6.0,1.25,11.0,5.4,74.0,54.5,4.65,2.45,11.05,106.35,38.2,19.0,120.0,7.95,3.85,1.85,0.0,0.0,17.0,7.0,20.0,111.0,0.0,7.0,3.8,6.95,6.0,201.0,2009.0,4.0,1.841,1.0,0.615,0.0,0.615,0.005
Dak Prescott,13.0,26.0,64.0,64.0,40.0,24.0,0.0,1363.0,2071.0,65.88,15778.0,97.0,4.67,36.0,1.73,782.0,79.0,7.6,7.75,11.53,246.55,97.03,136.0,826.0,6.15,6.76,6.92,8.0,14.0,27.25,31.0,241.0,1221.0,21.0,99.0,5.15,19.08,4.0,135.0,2016.0,4.0,2.723,4.0,160.0,31.409,40.0,0.0505
Dan Orlovsky,51.5,25.0,12.0,7.0,0.0,7.0,0.0,150.0,272.0,48.65,1679.0,8.0,1.55,8.0,1.55,79.0,58.0,5.0,4.65,10.15,96.55,62.2,15.0,98.0,5.4,4.49,4.12,0.0,0.0,10.0,3.0,7.0,29.0,0.0,2.0,4.1,2.9,5.0,145.0,2005.0,3.0,1.056,1.0,0.927,0.0,0.927,0.0075
Daniel Jones,21.75,25.0,54.0,53.0,21.0,31.0,1.0,1113.0,1740.0,63.98,11603.0,60.0,3.42,34.0,1.95,569.0,61.75,6.67,6.47,10.45,216.0,86.35,149.0,984.0,7.72,5.64,5.45,6.0,8.0,44.25,42.0,292.0,1708.0,12.0,111.0,5.85,30.77,1.0,6.0,2019.0,4.0,25.664,0.0,0.0,0.0,0.0,0.0
David Carr,20.5,26.0,60.0,59.0,16.0,43.0,0.0,941.0,1628.0,57.7,10624.0,48.0,2.95,53.0,3.35,514.0,70.25,6.53,5.62,11.32,176.5,73.25,208.0,1226.0,10.68,5.21,4.4,5.0,7.0,25.0,52.0,215.0,1040.0,6.0,72.0,5.0,17.05,1.0,1.0,2002.0,7.0,46.25,2.0,6.2,0.0,3.1,0.0294
David Fales,59.5,27.0,3.0,0.0,0.0,0.0,0.0,31.0,48.0,53.7,287.0,1.0,1.15,1.0,1.15,17.0,19.0,5.3,5.0,10.05,77.25,67.85,2.0,13.0,9.5,4.33,4.05,0.0,0.0,1.5,1.0,5.0,8.0,1.0,1.0,1.0,2.0,6.0,183.0,2014.0,4.0,2.334,3.0,1.53,0.0,0.51,0.0027
David Garrard,50.5,27.0,17.0,8.0,5.0,3.0,0.0,168.0,298.0,59.02,1808.0,8.0,3.92,4.0,1.57,106.0,30.75,6.0,6.08,10.2,88.47,82.78,21.0,120.0,6.35,5.3,5.42,2.0,3.0,27.0,5.0,68.0,387.0,6.0,28.0,5.8,26.13,4.0,108.0,2002.0,4.0,1.784,3.0,5.25,0.0,1.75,0.0161
DeShone Kizer,38.5,22.0,18.0,15.0,0.0,15.0,0.0,275.0,518.0,50.6,3081.0,11.0,1.15,24.0,4.7,139.0,42.5,5.3,3.4,10.35,127.6,50.5,42.0,264.0,8.05,4.21,2.48,0.0,0.0,16.0,10.0,82.0,458.0,5.0,35.0,6.6,20.45,2.0,52.0,2017.0,4.0,4.948,1.0,0.098,0.0,0.098,0.0
Dennis Dixon,66.0,25.0,4.0,3.0,2.0,1.0,0.0,35.0,59.0,71.67,402.0,1.0,1.27,2.0,2.3,14.0,29.33,5.5,4.7,8.87,91.67,73.07,5.0,41.0,4.5,4.78,4.05,0.0,1.0,14.67,2.0,10.0,56.0,1.0,4.0,4.63,13.33,5.0,156.0,2008.0,3.0,1.28,1.0,1.2,0.0,1.2,0.01
Derek Anderson,28.0,25.0,31.0,27.0,13.0,14.0,0.0,506.0,927.0,54.37,6195.0,43.0,4.33,35.0,4.4,305.0,71.33,6.57,5.47,12.03,185.6,70.7,36.0,262.0,4.57,5.92,4.86,4.0,5.0,19.67,16.0,61.0,172.0,3.0,20.0,5.4,6.43,6.0,213.0,2005.0,3.0,0.974,3.0,24.0,0.0,8.0,0.0441
Derek Carr,15.0,26.0,62.0,62.0,28.0,34.0,0.0,1378.0,2247.0,61.42,14690.0,103.0,4.6,44.0,1.98,710.0,76.75,6.58,6.6,10.65,237.3,87.7,91.0,559.0,3.88,6.07,6.1,13.0,13.0,27.5,33.0,124.0,366.0,0.0,30.0,3.03,5.88,2.0,36.0,2014.0,4.0,5.371,5.0,125.0,0.0,25.0,0.08
Deshaun Watson,14.0,25.0,54.0,53.0,28.0,25.0,0.0,1186.0,1748.0,66.9,14539.0,104.0,6.45,36.0,2.35,712.0,69.0,8.3,8.53,12.45,265.3,104.12,174.0,1050.0,8.97,7.02,7.23,8.0,10.0,32.25,30.0,307.0,1677.0,17.0,111.0,5.75,32.02,1.0,12.0,2017.0,4.0,13.854,4.0,156.0,0.0,39.0,0.0
Drew Brees,25.25,25.0,43.0,42.0,21.0,21.0,0.0,802.0,1309.0,59.88,8772.0,56.0,4.2,38.0,2.25,411.0,59.75,7.05,6.88,11.85,207.12,86.0,65.0,501.0,5.3,6.3,6.13,3.0,7.0,17.0,16.0,114.0,317.0,3.0,38.0,4.5,9.85,2.0,32.0,2001.0,4.0,3.605,6.0,60.0,8.078,10.0,0.0792
