Player,Rk,Age,G,GS,Win,Loss,Tie,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Lng_R,Fmb,Att_R,Yds_R,TD_R,1D_R,Y/A_R,Y/G_R,Rnd,Pick,Year,ConLenR,ConSalR,ConLen,ConSal,FTag,PPY,%Cap
Marc Bulger,16.5,26.0,22.0,22.0,18.0,4.0,0.0,474.0,746.0,63.85,5671.0,36.0,5.3,28.0,3.45,280.0,53.0,7.85,7.4,12.3,258.6,91.45,49.0,390.0,5.9,6.94,6.47,6.0,6.0,14.5,10.0,41.0,62.0,5.0,8.0,0.75,1.55,6.0,168.0,2000.0,2.0,0.543,1.0,0.375,0.0,0.375,0.0047
Marcus Mariota,23.25,25.0,56.0,55.0,27.0,28.0,0.0,1015.0,1605.0,63.58,12004.0,69.0,4.28,42.0,2.6,569.0,64.25,7.47,7.18,11.82,214.82,89.67,130.0,830.0,7.78,6.42,6.12,9.0,11.0,47.25,31.0,218.0,1270.0,11.0,82.0,6.0,22.65,1.0,2.0,2015.0,4.0,24.213,2.0,17.6,0.0,8.8,0.0456
Mark Sanchez,20.0,26.0,62.0,62.0,33.0,29.0,0.0,1028.0,1867.0,54.9,12092.0,68.0,3.6,69.0,3.85,602.0,69.75,6.5,5.5,11.82,194.47,70.85,126.0,818.0,6.38,5.66,4.71,8.0,10.0,16.75,43.0,125.0,342.0,12.0,43.0,2.62,5.5,1.0,5.0,2009.0,5.0,50.5,3.0,40.475,0.0,13.4917,0.1016
Mason Rudolph,44.67,26.0,17.0,10.0,5.0,4.0,1.0,236.0,384.0,60.2,2366.0,16.0,3.67,11.0,2.4,109.0,53.0,6.17,5.8,10.3,126.6,80.17,16.0,132.0,2.43,5.82,5.48,2.0,1.0,13.33,5.0,33.0,89.0,0.0,9.0,3.9,9.83,3.0,76.0,2018.0,4.0,3.921,1.0,5.08,0.0,5.08,0.0
Matt Barkley,55.0,26.0,11.0,6.0,1.0,5.0,0.0,159.0,266.0,40.3,1911.0,8.0,1.23,18.0,4.9,107.0,21.0,4.53,2.57,7.5,110.03,50.83,9.0,67.0,2.83,4.12,2.27,0.0,0.0,1.33,7.0,12.0,0.0,0.0,0.0,-0.23,-0.13,4.0,98.0,2013.0,4.0,2.739,1.0,0.675,0.0,0.675,0.004
Matt Cassel,51.5,26.0,30.0,15.0,10.0,5.0,0.0,349.0,555.0,59.3,3946.0,23.0,3.1,13.0,5.15,194.0,35.75,6.05,4.35,10.32,83.47,70.58,51.0,235.0,9.9,5.11,3.42,2.0,2.0,12.0,11.0,85.0,298.0,3.0,27.0,2.67,6.4,7.0,230.0,2005.0,4.0,1.439,6.0,63.0,0.0,10.5,0.0708
Matt Flynn,61.25,26.0,34.0,2.0,1.0,1.0,0.0,82.0,132.0,56.55,1015.0,9.0,4.17,5.0,3.85,48.0,41.5,5.8,4.9,9.45,42.58,72.8,13.0,62.0,6.65,4.97,4.14,1.0,1.0,5.0,3.0,31.0,19.0,1.0,4.0,0.6,0.7,7.0,209.0,2008.0,4.0,1.769,3.0,19.5,0.0,6.5,0.0518
Matt Leinart,41.5,26.0,29.0,17.0,7.0,10.0,0.0,340.0,595.0,57.08,3893.0,14.0,2.02,20.0,3.52,189.0,51.0,6.82,5.62,12.2,115.53,70.17,29.0,212.0,4.42,6.16,5.03,2.0,2.0,10.75,11.0,46.0,90.0,2.0,12.0,1.65,3.25,1.0,10.0,2006.0,6.0,50.46,1.0,0.63,0.0,0.63,0.0001
Matt Mauck,63.0,26.0,2.0,1.0,0.0,1.0,0.0,15.0,27.0,55.6,136.0,0.0,0.0,1.0,3.7,4.0,17.0,5.0,3.4,9.1,68.0,53.9,1.0,8.0,3.6,4.57,2.96,0.0,0.0,12.0,1.0,7.0,39.0,0.0,2.0,5.6,19.5,7.0,225.0,2004.0,3.0,0.952,0.0,0.0,0.0,0.0,0.0
Matt Ryan,12.75,26.0,62.0,62.0,43.0,19.0,0.0,1232.0,2022.0,60.8,14238.0,95.0,4.65,46.0,2.33,719.0,71.5,7.08,6.95,11.62,229.0,87.95,85.0,527.0,4.03,6.54,6.42,11.0,16.0,14.0,20.0,168.0,359.0,4.0,43.0,2.12,5.72,1.0,3.0,2008.0,6.0,67.5,5.0,103.75,0.0,20.75,0.1549
Matt Schaub,44.5,26.0,49.0,13.0,4.0,9.0,0.0,276.0,450.0,57.95,3274.0,15.0,3.62,15.0,4.05,144.0,59.0,6.97,5.88,12.07,75.65,74.62,28.0,175.0,6.53,6.2,5.16,1.0,1.0,16.25,10.0,41.0,175.0,0.0,14.0,4.45,3.77,3.0,90.0,2004.0,3.0,1.365,6.0,48.0,0.0,8.0,0.0554
Matthew Stafford,18.75,24.0,45.0,45.0,17.0,28.0,0.0,1114.0,1863.0,59.0,12807.0,80.0,4.67,54.0,2.75,649.0,60.25,6.5,6.17,11.03,257.57,82.33,93.0,674.0,4.75,5.84,5.54,8.0,9.0,15.75,17.0,81.0,323.0,7.0,27.0,3.83,6.83,1.0,1.0,2009.0,6.0,72.0,3.0,53.0,0.0,17.6667,0.133
Michael Vick,31.5,24.0,43.0,36.0,23.0,12.0,1.0,512.0,955.0,51.38,6619.0,36.0,3.5,26.0,2.83,308.0,59.25,6.75,6.17,13.22,141.25,72.85,109.0,649.0,10.95,5.34,4.85,6.0,6.0,45.5,35.0,304.0,2223.0,13.0,126.0,7.53,49.75,1.0,1.0,2001.0,6.0,62.0,10.0,138.0,0.0,13.8,0.11
Mike Glennon,40.0,27.0,21.0,18.0,5.0,13.0,0.0,374.0,630.0,69.3,4100.0,30.0,6.2,15.0,1.73,198.0,46.33,6.7,7.13,10.07,158.1,97.53,56.0,405.0,5.37,5.97,6.45,3.0,3.0,17.5,9.0,37.0,86.0,0.0,7.0,3.15,5.5,3.0,73.0,2013.0,4.0,3.104,3.0,45.0,0.0,15.0,0.0847
Mike Kafka,61.0,24.0,4.0,0.0,0.0,0.0,0.0,11.0,16.0,68.8,107.0,0.0,0.0,2.0,12.5,3.0,43.0,6.7,1.1,9.7,26.8,47.7,1.0,6.0,5.9,5.94,0.65,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,122.0,2010.0,4.0,2.256,2.0,1.2,0.0,0.6,0.0043
Mike White,39.0,26.0,4.0,3.0,1.0,2.0,0.0,88.0,132.0,66.7,953.0,5.0,3.8,8.0,6.1,49.0,28.0,7.2,5.3,10.8,238.3,75.1,4.0,18.0,2.9,6.88,4.96,1.0,1.0,2.0,0.0,5.0,-1.0,0.0,2.0,-0.2,-0.3,5.0,171.0,2018.0,4.0,2.677,1.0,0.85,0.0,0.85,0.0
Mitchell Trubisky,25.0,26.0,51.0,50.0,29.0,21.0,0.0,1010.0,1577.0,64.05,10609.0,64.0,4.08,37.0,2.38,543.0,61.5,6.75,6.53,10.57,206.93,87.35,111.0,698.0,6.6,5.91,5.67,5.0,7.0,38.25,27.0,190.0,1057.0,8.0,67.0,5.53,20.8,1.0,2.0,2017.0,4.0,29.032,1.0,2.5,0.0,2.5,0.0
Nate Sudfeld,64.5,25.0,3.0,0.0,0.0,0.0,0.0,20.0,25.0,66.3,156.0,1.0,25.0,0.0,0.0,6.0,19.0,8.4,13.4,14.55,72.5,110.05,3.0,24.0,5.75,7.62,12.62,0.0,0.0,10.5,0.0,3.0,20.0,0.0,1.0,10.5,10.5,6.0,187.0,2016.0,4.0,2.477,2.0,1.17,0.0,0.585,0.0015
Nathan Peterman,61.33,26.0,9.0,4.0,1.0,3.0,0.0,71.0,135.0,54.43,573.0,3.0,1.77,12.0,6.27,29.0,19.67,4.6,2.13,8.5,54.0,47.33,10.0,55.0,12.87,3.07,0.72,0.0,0.0,14.0,2.0,18.0,82.0,1.0,6.0,5.77,9.1,5.0,171.0,2017.0,4.0,2.639,1.0,2.133,0.0,2.133,0.0
Nick Foles,30.33,26.0,26.0,25.0,11.0,14.0,0.0,537.0,913.0,59.0,5914.0,26.0,2.87,25.0,2.7,264.0,60.67,6.5,5.83,11.0,233.2,76.5,43.0,303.0,4.6,5.87,5.25,4.0,5.0,12.67,17.0,44.0,130.0,2.0,16.0,3.1,5.43,3.0,88.0,2012.0,4.0,2.768,2.0,24.54,0.0,12.27,0.0762
Patrick Mahomes,15.75,25.0,46.0,46.0,38.0,8.0,0.0,1114.0,1687.0,65.28,14152.0,114.0,5.12,24.0,1.75,691.0,74.5,8.32,8.55,12.75,301.62,100.92,67.0,460.0,4.17,7.68,7.91,6.0,7.0,20.5,17.0,172.0,808.0,6.0,56.0,4.0,15.78,1.0,10.0,2017.0,4.0,16.425,10.0,450.0,0.0,45.0,0.0
Patrick Ramsey,35.0,26.0,33.0,24.0,10.0,14.0,0.0,480.0,861.0,56.67,5649.0,34.0,3.98,29.0,3.55,264.0,62.25,7.62,6.82,13.45,155.68,79.4,75.0,502.0,9.28,6.24,5.5,0.0,2.0,12.25,25.0,45.0,83.0,2.0,7.0,1.57,2.1,1.0,32.0,2002.0,5.0,5.568,2.0,4.5,0.0,2.25,0.0214
Paxton Lynch,45.5,23.0,5.0,4.0,1.0,3.0,0.0,79.0,128.0,62.85,792.0,4.0,3.4,4.0,3.95,40.0,30.5,6.3,5.15,9.95,156.6,75.6,18.0,93.0,13.25,4.73,3.83,0.0,0.0,10.5,4.0,16.0,55.0,0.0,3.0,4.15,11.65,1.0,26.0,2016.0,4.0,9.476,1.0,0.645,0.0,0.645,0.0033
Philip Rivers,40.75,26.0,36.0,32.0,25.0,7.0,0.0,578.0,950.0,59.73,6688.0,44.0,5.47,25.0,2.45,333.0,35.25,5.9,5.88,9.88,120.7,83.93,52.0,323.0,5.53,5.24,5.3,5.0,5.0,5.75,22.0,82.0,76.0,1.0,17.0,-0.05,0.55,1.0,4.0,2004.0,6.0,41.0,6.0,91.8,0.0,15.3,0.1059
Rex Grossman,40.0,26.0,24.0,23.0,17.0,6.0,0.0,367.0,675.0,53.67,4496.0,27.0,2.85,26.0,3.58,216.0,53.75,6.65,5.6,12.4,169.28,69.08,31.0,214.0,4.4,6.03,5.03,1.0,3.0,10.0,13.0,38.0,49.0,1.0,8.0,1.4,5.27,1.0,22.0,2003.0,5.0,6.85,1.0,3.0,0.0,3.0,0.0275
Robert Griffin III,24.67,24.0,37.0,35.0,14.0,21.0,0.0,679.0,1063.0,64.8,8097.0,40.0,3.5,23.0,2.23,380.0,73.0,7.67,7.37,11.87,215.97,90.5,101.0,718.0,9.4,6.31,6.04,4.0,5.0,41.67,32.0,244.0,1480.0,8.0,81.0,5.7,37.17,1.0,2.0,2012.0,4.0,21.119,2.0,15.0,0.0,7.5,0.0466
Russell Wilson,16.5,27.0,64.0,64.0,46.0,18.0,0.0,1123.0,1735.0,64.6,13974.0,106.0,6.1,34.0,1.98,661.0,76.75,8.03,8.38,12.47,218.35,101.58,164.0,982.0,8.62,6.83,7.14,9.0,14.0,32.75,34.0,411.0,2430.0,12.0,138.0,5.85,38.0,3.0,75.0,2012.0,4.0,2.996,4.0,87.6,0.0,21.9,0.128
Rusty Smith,60.5,25.0,3.0,1.0,0.0,1.0,0.0,23.0,45.0,55.0,234.0,0.0,0.0,4.0,5.0,9.0,34.5,5.9,3.65,10.65,67.0,52.7,1.0,0.0,1.2,5.84,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,176.0,2010.0,4.0,1.904,1.0,0.024,0.0,0.024,0.0002
Ryan Finley,53.5,26.0,8.0,4.0,1.0,3.0,0.0,58.0,119.0,50.1,638.0,3.0,2.7,4.0,4.3,28.0,38.5,5.25,3.9,10.6,95.4,57.1,20.0,156.0,16.6,3.17,2.07,0.0,0.0,23.5,4.0,21.0,143.0,1.0,8.0,6.85,19.45,4.0,104.0,2019.0,4.0,3.309,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,36.0,26.0,17.0,15.0,4.0,10.0,1.0,297.0,507.0,57.85,2682.0,12.0,2.6,17.0,4.15,139.0,67.5,5.45,4.1,9.4,170.4,64.1,47.0,242.0,7.8,4.62,3.35,1.0,1.0,12.67,14.0,77.0,368.0,4.0,31.0,3.23,13.13,7.0,250.0,2005.0,3.0,0.953,1.0,0.927,0.0,0.927,0.0075
Ryan Lindley,48.67,26.0,10.0,6.0,1.0,5.0,0.0,140.0,274.0,53.47,1372.0,3.0,4.07,11.0,2.8,73.0,29.0,5.4,4.97,10.2,123.53,71.03,18.0,137.0,4.23,4.87,4.5,0.0,0.0,8.0,3.0,4.0,7.0,0.0,1.0,1.8,1.2,6.0,185.0,2012.0,4.0,2.205,1.0,0.57,0.0,0.57,0.0037
Ryan Mallett,60.0,26.0,7.0,2.0,1.0,1.0,0.0,42.0,79.0,39.85,417.0,2.0,1.35,3.0,13.85,24.0,29.0,4.8,-1.15,13.4,68.8,36.4,1.0,5.0,0.65,4.72,-1.23,0.0,0.0,0.5,0.0,14.0,-11.0,0.0,2.0,-0.7,-1.5,3.0,74.0,2011.0,4.0,2.947,2.0,7.0,0.0,3.5,0.0235
Ryan Nassib,62.5,25.0,5.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,128.0,1.0,10.0,0.0,0.0,6.0,27.0,12.8,14.8,14.3,41.5,137.5,2.0,11.0,14.3,10.3,12.3,0.0,0.0,-1.0,1.0,2.0,-3.0,0.0,0.0,-1.5,-0.8,4.0,110.0,2013.0,4.0,2.613,1.0,0.775,0.0,0.775,0.0046
Ryan Tannehill,12.5,27.0,64.0,64.0,29.0,35.0,0.0,1392.0,2248.0,61.75,15460.0,87.0,3.83,54.0,2.4,775.0,62.75,6.9,6.58,11.15,241.57,84.83,184.0,1390.0,7.5,5.79,5.49,9.0,7.0,36.75,37.0,177.0,901.0,5.0,54.0,5.08,14.07,1.0,8.0,2012.0,4.0,12.668,4.0,77.0,0.0,19.25,0.1125
Sage Rosenfels,75.33,26.0,9.0,1.0,0.0,1.0,0.0,20.0,48.0,35.9,314.0,2.0,6.43,3.0,2.57,11.0,32.33,5.03,5.17,9.67,37.67,70.83,3.0,16.0,2.37,4.74,4.95,0.0,0.0,-1.5,0.0,3.0,-10.0,0.0,0.0,-2.75,-1.4,4.0,109.0,2001.0,3.0,1.202,1.0,0.628,0.0,0.628,0.0073
Sam Bradford,22.25,26.0,49.0,49.0,18.0,30.0,1.0,1032.0,1760.0,58.42,11065.0,59.0,3.48,38.0,2.02,554.0,67.5,6.3,6.05,10.78,227.07,80.12,120.0,822.0,6.5,5.45,5.24,6.0,5.0,19.5,27.0,96.0,244.0,2.0,19.0,2.3,4.67,1.0,1.0,2010.0,6.0,78.045,2.0,36.0,0.0,18.0,0.1305
Sam Darnold,26.0,24.0,50.0,49.0,17.0,32.0,0.0,972.0,1625.0,59.77,10624.0,54.0,3.27,52.0,3.17,509.0,75.0,6.53,5.72,10.93,211.9,76.62,133.0,854.0,7.62,5.54,4.81,3.0,4.0,32.0,29.0,162.0,639.0,10.0,55.0,3.88,13.0,1.0,3.0,2018.0,4.0,30.247,0.0,0.0,0.0,0.0,0.0
Sean Mannion,66.25,26.0,10.0,1.0,0.0,1.0,0.0,33.0,53.0,65.47,258.0,0.0,0.0,1.0,4.17,12.0,22.0,5.08,3.2,7.85,23.68,66.15,3.0,20.0,1.88,4.85,2.98,0.0,0.0,1.67,3.0,17.0,-12.0,0.0,4.0,-0.83,-1.47,3.0,89.0,2015.0,4.0,3.25,1.0,0.895,0.0,0.895,0.0048
Sean Renfree,73.0,25.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,11.0,0.0,0.0,1.0,14.3,1.0,11.0,1.6,-4.9,3.7,5.5,10.7,2.0,17.0,22.2,-0.67,-5.67,0.0,0.0,-4.0,0.0,1.0,-4.0,0.0,0.0,-4.0,-2.0,7.0,249.0,2013.0,4.0,2.205,1.0,0.635,0.0,0.635,0.0038
Seneca Wallace,51.5,26.0,15.0,4.0,2.0,2.0,0.0,95.0,166.0,55.1,1100.0,9.0,4.85,8.0,4.5,52.0,45.5,6.75,5.7,12.3,70.3,73.55,17.0,103.0,9.85,5.46,4.51,1.0,1.0,18.5,7.0,18.0,117.0,0.0,6.0,4.7,7.3,4.0,110.0,2003.0,3.0,1.22,2.0,2.3,0.0,1.15,0.0102
Stephen McGee,56.5,26.0,3.0,1.0,1.0,0.0,0.0,46.0,82.0,56.6,420.0,3.0,3.55,0.0,0.0,20.0,28.0,5.1,5.8,9.2,150.5,82.4,6.0,50.0,6.85,4.18,4.85,1.0,1.0,13.0,1.0,17.0,102.0,0.0,5.0,6.35,32.5,4.0,101.0,2009.0,4.0,2.282,2.0,1.36,0.0,0.68,0.0053
T.J. Yates,55.0,27.0,14.0,5.0,2.0,3.0,0.0,104.0,170.0,61.1,1164.0,3.0,0.55,7.0,11.57,61.0,32.25,8.0,2.9,12.47,67.35,52.98,18.0,81.0,6.88,7.43,2.54,1.0,2.0,6.0,8.0,17.0,56.0,1.0,4.0,1.2,3.07,5.0,152.0,2011.0,4.0,2.225,1.0,1.5,0.0,1.5,0.0105
Tarvaris Jackson,41.25,26.0,33.0,19.0,10.0,9.0,0.0,320.0,545.0,60.5,3643.0,21.0,4.1,18.0,2.58,171.0,53.5,7.28,6.9,11.93,105.12,85.53,41.0,204.0,5.92,6.56,6.26,3.0,4.0,20.0,14.0,112.0,472.0,4.0,34.0,3.73,13.95,2.0,64.0,2006.0,4.0,2.665,1.0,1.176,0.0,1.176,0.0001
Teddy Bridgewater,41.67,25.0,30.0,28.0,17.0,11.0,0.0,551.0,851.0,43.23,6150.0,28.0,2.2,22.0,18.33,290.0,46.33,4.83,-3.0,7.47,142.13,57.97,83.0,556.0,5.93,4.0,-3.78,4.0,4.0,11.33,11.0,94.0,398.0,4.0,33.0,2.6,8.37,1.0,32.0,2014.0,4.0,6.849,1.0,6.0,0.0,6.0,0.0339
Tim Tebow,46.0,25.0,35.0,16.0,8.0,6.0,0.0,173.0,361.0,57.17,2422.0,17.0,3.5,9.0,1.97,110.0,43.0,6.43,6.23,12.07,66.5,79.97,41.0,258.0,12.57,5.1,4.93,6.0,6.0,31.33,14.0,197.0,989.0,12.0,60.0,4.63,26.93,1.0,25.0,2010.0,5.0,11.25,2.0,1.385,0.0,0.6925,0.005
Tom Brady,28.75,26.0,48.0,46.0,34.0,12.0,0.0,955.0,1544.0,54.88,10233.0,69.0,3.38,38.0,1.88,505.0,57.0,5.53,5.3,9.57,164.28,75.12,104.0,625.0,4.9,4.88,4.72,8.0,11.0,12.67,36.0,120.0,216.0,2.0,38.0,1.77,4.57,6.0,199.0,2000.0,3.0,0.866,4.0,29.625,0.0,7.4062,0.0798
Tom Brandstater,83.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,174.0,2009.0,4.0,1.873,1.0,0.54,0.0,0.54,0.0044
Tom Savage,45.67,27.0,13.0,9.0,2.0,7.0,0.0,181.0,315.0,57.23,2000.0,5.0,0.73,7.0,2.67,96.0,41.33,6.43,5.4,11.33,131.23,68.07,27.0,200.0,6.67,5.56,4.58,3.0,3.0,5.0,11.0,16.0,8.0,0.0,2.0,0.5,0.43,4.0,135.0,2014.0,4.0,2.52,1.0,1.5,0.0,1.5,0.0085
Tony Pike,68.0,24.0,1.0,0.0,0.0,0.0,0.0,6.0,12.0,50.0,47.0,0.0,0.0,0.0,0.0,3.0,22.0,3.9,3.9,7.8,47.0,60.1,1.0,10.0,7.7,2.85,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,204.0,2010.0,4.0,1.87,0.0,0.0,0.0,0.0,0.0
Trace McSorley,59.5,27.0,8.0,1.0,0.0,1.0,0.0,48.0,93.0,42.1,502.0,1.0,5.0,5.0,3.0,19.0,58.5,7.0,6.65,19.6,56.85,70.35,3.0,27.0,1.75,6.74,6.43,0.0,0.0,8.0,2.0,21.0,79.0,0.0,6.0,2.83,6.57,6.0,197.0,2019.0,4.0,2.68,1.0,0.85,0.0,0.85,0.0
Trent Edwards,33.25,27.0,37.0,33.0,14.0,19.0,0.0,561.0,927.0,59.05,6019.0,26.0,2.7,30.0,3.62,270.0,56.25,6.22,5.1,10.47,151.53,71.12,69.0,482.0,7.78,5.17,4.17,4.0,5.0,15.75,14.0,78.0,330.0,3.0,22.0,4.62,9.55,3.0,92.0,2007.0,4.0,2.296,2.0,1.415,0.0,0.7075,0.0059
Trevor Siemian,25.5,26.0,25.0,24.0,13.0,11.0,0.0,495.0,835.0,59.25,5686.0,30.0,3.55,24.0,3.05,267.0,60.0,6.75,6.1,11.45,225.3,78.95,64.0,407.0,7.3,5.82,5.21,3.0,2.0,9.33,9.0,60.0,183.0,1.0,14.0,1.7,4.87,7.0,250.0,2015.0,4.0,2.332,1.0,2.0,0.0,2.0,0.0106
Troy Smith,56.25,26.0,20.0,8.0,4.0,4.0,0.0,121.0,234.0,58.38,1734.0,8.0,7.75,5.0,3.48,71.0,49.25,9.3,9.32,14.88,82.17,83.7,23.0,142.0,9.0,7.67,7.42,2.0,2.0,13.25,9.0,52.0,230.0,3.0,18.0,4.1,11.38,5.0,174.0,2007.0,3.0,1.22,1.0,0.545,0.0,0.545,0.0045
Tua Tagovailoa,24.33,24.0,36.0,34.0,21.0,13.0,0.0,708.0,1078.0,65.57,8015.0,52.0,4.73,23.0,2.1,399.0,61.33,7.33,7.3,11.2,219.47,94.23,61.0,451.0,5.47,6.53,6.53,4.0,6.0,19.33,16.0,101.0,307.0,6.0,30.0,3.0,8.7,1.0,5.0,2020.0,4.0,30.275,0.0,0.0,0.0,0.0,0.0
Tyler Thigpen,53.0,26.0,22.0,12.0,1.0,11.0,0.0,269.0,496.0,47.83,3167.0,21.0,5.0,17.0,11.95,147.0,41.5,7.6,3.23,16.45,88.95,63.67,35.0,221.0,7.88,6.48,2.41,0.0,1.0,15.33,7.0,77.0,462.0,3.0,25.0,4.43,14.57,7.0,217.0,2007.0,4.0,1.722,3.0,9.0,0.0,3.0,0.0247
Tyrod Taylor,66.33,24.0,13.0,0.0,0.0,0.0,0.0,19.0,35.0,59.53,199.0,0.0,0.0,2.0,7.8,8.0,15.0,8.2,4.67,10.17,10.77,60.33,5.0,33.0,25.37,3.35,-0.12,0.0,0.0,13.75,0.0,27.0,136.0,1.0,10.0,3.6,7.35,6.0,180.0,2011.0,4.0,2.145,3.0,3.35,0.0,1.1167,0.0072
Vince Young,30.0,26.0,45.0,39.0,26.0,13.0,0.0,596.0,1034.0,58.4,6843.0,32.0,3.12,39.0,4.1,350.0,61.5,6.58,5.3,11.28,136.47,71.28,62.0,335.0,5.92,5.86,4.72,7.0,11.0,28.0,32.0,239.0,1255.0,12.0,79.0,4.85,23.88,1.0,3.0,2006.0,6.0,58.0,1.0,4.0,0.0,4.0,0.0004
Will Grier,53.0,24.0,2.0,2.0,0.0,2.0,0.0,28.0,52.0,53.8,228.0,0.0,0.0,4.0,7.7,12.0,28.0,4.4,0.9,8.1,114.0,33.2,6.0,44.0,10.3,3.17,0.07,0.0,0.0,11.0,1.0,7.0,22.0,0.0,2.0,3.1,11.0,3.0,100.0,2019.0,4.0,3.852,1.0,0.965,0.0,0.965,0.0
Zach Mettenberger,38.0,24.0,14.0,10.0,0.0,10.0,0.0,208.0,345.0,60.3,2347.0,12.0,3.45,14.0,4.05,102.0,68.5,6.75,5.6,11.25,167.65,75.05,31.0,236.0,8.2,5.57,4.52,0.0,0.0,6.5,8.0,14.0,12.0,1.0,3.0,0.85,0.85,6.0,178.0,2014.0,4.0,2.345,0.0,0.0,0.0,0.0,0.0
