Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
1,1,CLE,Myles Garrett,DE,21,2022,2,4,5,84,0,0,0,0,0,0,0,0,0,0,0,177,,74.5,GarrMy00
1,2,CHI,Mitchell Trubisky,QB,23,2022,0,1,4,64,1133,1765,11904,68,43,222,1119,11,0,0,0,,,,TrubMi00
1,3,SFO,Solomon Thomas,DE,22,2022,0,0,2,82,0,0,0,0,0,0,0,0,0,0,0,103,,10,ThomSo00
1,4,JAX,Leonard Fournette,RB,22,2022,0,0,4,79,0,2,0,0,1,1132,4478,34,312,2219,7,1,,,FourLe00
1,5,TEN,Corey Davis,WR,22,2022,0,0,4,78,0,0,0,0,0,6,55,0,273,3879,17,,,,DaviCo03
1,6,NYJ,Jamal Adams,S,21,2022,1,3,5,71,0,0,0,0,0,0,0,0,0,0,0,328,4,21.5,AdamJa00
1,7,LAC,Mike Williams,WR,22,2022,0,0,3,85,0,0,0,0,0,9,31,1,290,4557,30,,1,,WillMi07
1,8,CAR,Christian McCaffrey,RB,21,2022,1,1,3,75,2,4,84,2,0,1025,4726,38,442,3756,22,1,,,McCaCh01
1,9,CIN,John Ross,WR,21,2021,0,0,1,37,0,0,0,0,0,9,41,0,62,957,11,,,,RossJo00
1,10,KAN,Patrick Mahomes,QB,21,2022,2,5,4,80,1985,2993,24241,192,49,299,1547,12,1,6,0,2,,,MahoPa00
1,11,NOR,Marshon Lattimore,CB,21,2022,0,4,5,80,0,0,0,0,0,0,0,0,0,0,0,265,14,,LattMa01
1,12,HOU,Deshaun Watson,QB,21,2022,0,3,3,60,1285,1918,15641,111,41,343,1852,18,1,6,1,1,,,WatsDe00
1,13,ARI,Haason Reddick,LB,22,2022,0,1,3,97,0,0,0,0,0,0,0,0,0,0,0,234,,47,ReddHa00
1,14,PHI,Derek Barnett,DE,21,2022,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,95,,21.5,BarnDe01
1,15,IND,Malik Hooker,S,21,2022,0,0,3,67,0,0,0,0,0,0,0,0,0,0,0,155,11,,HookMa00
1,16,BAL,Marlon Humphrey,CB,21,2022,1,3,4,90,0,0,0,0,0,0,0,0,0,0,0,281,12,5.5,HumpMa00
1,17,WAS,Jonathan Allen,DE,22,2022,0,2,4,85,0,0,0,0,0,0,0,0,0,0,0,195,1,33.5,AlleJo01
1,18,TEN,Adoree' Jackson,CB,21,2022,0,0,4,69,0,0,0,0,0,5,55,0,0,0,0,263,3,,JackAd00
1,19,TAM,O.J. Howard,TE,22,2022,0,0,3,72,0,0,0,0,0,0,0,0,129,1882,17,,,,HowaO.00
1,20,DEN,Garett Bolles,T,25,2022,0,0,5,82,0,0,0,0,0,0,0,0,0,0,0,,,,BollGa00
1,21,DET,Jarrad Davis,LB,22,2022,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,226,1,11,DaviJa01
1,22,MIA,Charles Harris,OLB,22,2022,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,86,,15,HarrCh03
1,23,NYG,Evan Engram,TE,23,2022,0,1,5,82,0,0,0,0,0,16,93,1,335,3594,20,2,,,EngrEv00
1,24,OAK,Gareon Conley,CB,22,2019,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,ConlGa00
1,25,CLE,Jabrill Peppers,S,21,2022,0,0,4,78,0,0,0,0,0,0,0,0,0,0,0,259,4,4.5,PeppJa00
1,26,ATL,Takkarist McKinley,DE,21,2022,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0,63,,20,McKiTa00
1,27,BUF,Tre'Davious White,CB,22,2022,1,2,5,78,0,0,0,0,0,0,0,0,0,0,0,232,17,3,WhitTr01
1,28,DAL,Taco Charlton,DE,22,2022,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,54,,11.5,CharTa00
1,29,CLE,David Njoku,TE,21,2022,0,0,2,79,0,0,0,0,0,4,-6,0,206,2382,19,2,,,NjokDa00
1,30,PIT,T.J. Watt,OLB,22,2022,3,5,5,87,0,0,0,0,0,0,0,0,0,0,0,243,6,77.5,WattT.00
1,31,SFO,Reuben Foster,LB,23,2018,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,84,,,FostRe00
1,32,NOR,Ryan Ramczyk,T,23,2022,1,0,4,89,0,0,0,0,0,0,0,0,0,0,0,,,,RamcRy00
2,33,GNB,Kevin King,CB,22,2021,0,0,3,51,0,0,0,0,0,0,0,0,0,0,0,158,7,1,KingKe01
2,34,JAX,Cam Robinson,T,21,2022,0,0,4,75,0,0,0,0,0,0,0,0,0,0,0,,,,RobiCa00
2,35,SEA,Malik McDowell,DT,21,2021,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,19,,3,McDoMa00
2,36,ARI,Budda Baker,S,21,2022,2,5,4,93,0,0,0,0,0,0,0,0,0,0,0,468,7,7.5,BakeBu00
2,37,BUF,Zay Jones,WR,22,2022,0,0,2,95,1,2,29,0,0,8,24,0,253,2707,16,3,,,JoneZa00
2,38,LAC,Forrest Lamp,G,23,2021,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,,,,LampFo00
2,39,NYJ,Marcus Maye,S,24,2022,0,0,4,70,0,0,0,0,0,0,0,0,0,0,0,261,6,3.5,MayeMa00
2,40,CAR,Curtis Samuel,WR,21,2022,0,0,3,75,0,0,0,0,0,114,676,6,255,2770,18,7,,,SamuCu00
2,41,MIN,Dalvin Cook,RB,22,2022,0,3,4,73,0,0,0,0,0,1282,5993,47,221,1794,5,2,,,CookDa01
2,42,NOR,Marcus Williams,S,20,2022,0,0,5,86,0,0,0,0,0,0,0,0,0,0,0,283,19,1,WillMa06
2,43,PHI,Sidney Jones,CB,21,2022,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,115,4,,JoneSi00
2,44,LAR,Gerald Everett,TE,23,2022,0,0,1,92,0,0,0,0,0,9,51,1,233,2422,16,1,,,EverGe00
2,45,CHI,Adam Shaheen,TE,22,2021,0,0,1,55,0,0,0,0,0,0,0,0,50,509,7,1,,,ShahAd00
2,46,IND,Quincy Wilson,CB,21,2022,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,49,2,,WilsQu01
2,47,BAL,Tyus Bowser,OLB,22,2022,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,93,4,19.5,BowsTy00
2,48,CIN,Joe Mixon,RB,21,2022,0,1,3,80,0,0,0,0,0,1314,5378,40,231,1763,10,1,,,MixoJo00
2,49,WAS,Ryan Anderson,OLB,23,2022,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,56,,6,AndeRy00
2,50,TAM,Justin Evans,S,22,2022,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,110,4,,EvanJu00
2,51,DEN,DeMarcus Walker,DE,22,2022,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,75,,19.5,WalkDe03
2,52,CLE,DeShone Kizer,QB,21,2018,0,0,1,18,275,518,3081,11,24,82,458,5,0,0,0,,,,KizeDe00
2,53,DET,Teez Tabor,CB,21,2022,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,47,,,TaboTe00
2,54,MIA,Raekwon McMillan,LB,21,2022,0,0,2,61,0,0,0,0,0,0,0,0,0,0,0,147,,1,McMiRa02
2,55,NYG,Dalvin Tomlinson,DT,23,2022,0,0,5,93,0,0,0,0,0,0,0,0,0,0,0,143,,13,TomlDa00
2,56,OAK,Obi Melifonwu,S,23,2018,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,,,MeliOb00
2,57,HOU,Zach Cunningham,LB,22,2022,0,0,4,82,0,0,0,0,0,0,0,0,0,0,0,392,1,6.5,CunnZa00
2,58,SEA,Ethan Pocic,C,22,2022,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,,,,PociEt00
2,59,KAN,Tanoh Kpassagnon,DE,23,2022,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,81,,13,KpasTa00
2,60,DAL,Chidobe Awuzie,CB,22,2022,0,0,3,71,0,0,0,0,0,0,0,0,0,0,0,230,6,,AwuzCh00
2,61,GNB,Josh Jones,S,22,2022,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,193,2,3,JoneJo06
2,62,PIT,JuJu Smith-Schuster,WR,20,2022,0,1,3,79,0,0,0,0,0,4,22,1,401,4788,29,2,,,SmitJu00
2,63,BUF,Dion Dawkins,G,23,2022,0,1,5,95,0,0,0,0,0,0,0,0,2,8,2,2,,,DawkDi00
2,64,CAR,Taylor Moton,G,23,2022,0,0,4,98,0,0,0,0,0,0,0,0,0,0,0,2,,,MotoTa00
3,65,CLE,Larry Ogunjobi,DT,23,2022,0,0,4,92,0,0,0,0,0,0,0,0,0,0,0,162,,23,OgunLa00
3,66,SFO,Ahkello Witherspoon,CB,22,2022,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,130,8,,WithAh00
3,67,NOR,Alvin Kamara,RB,22,2022,0,5,3,88,1,1,13,0,0,1135,5135,49,430,3753,22,,,,KamaAl00
3,68,JAX,Dawuane Smoot,DE,22,2022,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,86,,22.5,SmooDa00
3,69,LAR,Cooper Kupp,WR,24,2022,1,1,4,80,0,4,0,0,0,23,132,1,508,6329,46,3,,,KuppCo00
3,70,MIN,Pat Elflein,C,23,2022,0,0,3,65,0,0,0,0,0,0,0,0,0,0,0,1,,,ElflPa00
3,71,LAC,Dan Feeney,G,23,2022,0,0,4,96,0,0,0,0,0,0,0,0,0,0,0,,,,FeenDa00
3,72,TEN,Taywan Taylor,WR,22,2020,0,0,0,35,0,0,0,0,0,8,43,0,53,697,2,4,,,TaylTa00
3,73,CIN,Jordan Willis,OLB,22,2022,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,55,,10.5,WillJo09
3,74,BAL,Chris Wormley,DE,23,2022,0,0,3,80,0,0,0,0,0,0,0,0,0,0,0,80,,11,WormCh00
3,75,ATL,Duke Riley,LB,23,2022,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,134,1,1.5,RileDu00
3,76,NOR,Alex Anzalone,LB,22,2022,0,0,1,69,0,0,0,0,0,0,0,0,0,0,0,211,3,6.5,AnzaAl00
3,77,CAR,Daeshon Hall,DE,22,2019,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.5,HallDa01
3,78,BAL,Tim Williams,OLB,23,2019,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,13,,2,WillTi00
3,79,NYJ,ArDarius Stewart,WR,23,2017,0,0,0,15,0,0,0,0,0,7,27,0,6,82,0,,,,StewAr00
3,80,IND,Tarell Basham,DE,23,2022,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,70,1,11,BashTa00
3,81,WAS,Fabian Moreau,CB,23,2022,0,0,2,90,0,0,0,0,0,0,0,0,0,0,0,178,6,,MoreFa00
3,82,DEN,Carlos Henderson,WR,22,,0,0,0,,,,,,,,,,,,,,,,HendCa01
3,83,NWE,Derek Rivers,DE,23,2021,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,11,,3.5,RiveDe00
3,84,TAM,Chris Godwin,WR,21,2022,0,1,3,87,0,0,0,0,0,8,34,1,446,5666,32,8,,,GodwCh00
3,85,NWE,Antonio Garcia,T,23,,0,0,0,,,,,,,,,,,,,,,,GarcAn00
3,86,KAN,Kareem Hunt,RB,22,2022,0,1,2,76,0,0,0,0,0,895,4025,31,211,1806,17,,,,HuntKa00
3,87,NYG,Davis Webb,QB,22,2022,0,0,0,2,23,40,168,1,0,8,38,1,0,0,0,,,,WebbDa00
3,88,OAK,Eddie Vanderdoes,DT,22,2019,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,18,,,VandEd00
3,89,HOU,D'Onta Foreman,RB,21,2022,0,0,0,43,0,0,0,0,0,443,1901,10,23,265,2,,,,ForeDO00
3,90,SEA,Shaquill Griffin,DB,22,2022,0,1,5,76,0,0,0,0,0,0,0,0,0,0,0,262,6,1,GrifSh00
3,91,LAR,John Johnson,S,21,2022,0,0,4,86,0,0,0,0,0,0,0,0,0,0,0,342,12,1,JohnJo10
3,92,DAL,Jourdan Lewis,CB,22,2022,0,0,2,83,0,0,0,0,0,2,12,0,0,0,0,200,8,8.5,LewiJo01
3,93,GNB,Montravius Adams,DT,22,2022,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,41,,1.5,AdamMo00
3,94,PIT,Cameron Sutton,CB,22,2022,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,143,8,2,SuttCa00
3,95,SEA,Lano Hill,S,21,2020,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,41,,,HillDe02
3,96,DET,Kenny Golladay,WR,23,2022,0,1,4,73,0,0,0,0,0,2,17,0,226,3670,22,,,,GollKe00
3,97,MIA,Cordrea Tankersley,CB,23,2020,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,28,,,TankCo00
3,98,ARI,Chad Williams,WR,22,2019,0,0,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,WillCh05
3,99,PHI,Rasul Douglas,CB,23,2022,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,266,14,1,DougRa00
3,100,TEN,Jonnu Smith,TE,22,2022,0,0,5,90,0,0,0,0,0,16,127,1,169,1841,17,,,,SmitJo01
3,101,DEN,Brendan Langley,CB,22,2018,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,,,LangBr00
3,102,SEA,Nazair Jones,DT,22,2018,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2,JoneNa00
3,103,NOR,Trey Hendrickson,OLB,22,2022,0,2,2,76,0,0,0,0,0,0,0,0,0,0,0,90,,42,HendTr00
3,104,SFO,C.J. Beathard,QB,23,2022,0,0,0,25,300,510,3537,18,14,56,231,4,0,0,0,,,,BeatC.00
3,105,PIT,James Conner,RB,22,2022,0,2,3,78,0,0,0,0,0,917,3836,44,207,1638,8,2,,,ConnJa00
3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,16,0,0,0,0,0,0,0,0,8,71,0,2,,,DarbAm00
3,107,TAM,Kendell Beckwith,ILB,22,2017,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,60,,1,BeckKe00
4,108,GNB,Vince Biegel,LB,24,2021,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,42,1,2.5,BiegVi00
4,109,MIN,Jaleel Johnson,DT,23,2022,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,65,,6.5,JohnJa09
4,110,JAX,Dede Westbrook,WR,23,2021,0,0,1,55,0,1,0,0,0,14,125,0,170,1788,9,1,,,WestDe00
4,111,SEA,Tedric Thompson,S,22,2021,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,63,3,,ThomTe00
4,112,CHI,Eddie Jackson,S,23,2022,1,2,5,88,0,0,0,0,0,0,0,0,0,0,0,323,14,2,JackEd01
4,113,LAC,Rayshawn Jenkins,S,23,2022,0,0,3,92,0,0,0,0,0,0,0,0,0,0,0,244,8,2.5,JenkRa00
4,114,WAS,Samaje Perine,RB,21,2022,0,0,1,76,0,0,0,0,0,401,1592,7,101,736,6,15,,,PeriSa00
4,115,ARI,Dorian Johnson,G,22,,0,0,0,,,,,,,,,,,,,,,,JohnDo03
4,116,CIN,Carl Lawson,OLB,22,2022,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,67,,27,LawsCa00
4,117,LAR,Josh Reynolds,WR,22,2022,0,0,1,90,0,0,0,0,0,8,36,0,180,2325,14,7,,,ReynJo00
4,118,PHI,Mack Hollins,WR,23,2022,0,0,0,82,1,1,4,0,0,4,40,0,113,1440,10,17,,,HollMa00
4,119,CHI,Tarik Cohen,RB,22,2020,1,1,2,51,2,3,22,2,0,264,1101,5,209,1575,9,1,,,CoheTa00
4,120,MIN,Ben Gedeon,ILB,22,2019,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,60,,,GedeBe00
4,121,SFO,Joe Williams,RB,24,,0,0,0,,,,,,,,,,,,,,,,WillJo12
4,122,BAL,Nico Siragusa,G,23,,0,0,0,,,,,,,,,,,,,,,,SiraNi00
